time(second),IR,RED
6.4,8787,11032
6.42,8696,10989
6.44,8777,10976
6.46,8749,11079
6.48,8755,10959
6.5,8745,11045
6.52,8749,11034
6.54,8782,10959
6.56,8815,11043
6.58,8776,11079
6.6,8803,11045
6.62,8730,11003
6.64,8703,11013
6.66,8757,11097
6.68,8745,11023
6.7,8780,10983
6.72,8759,11028
6.74,8729,10968
6.76,8741,10981
6.78,8775,11060
6.8,8744,10964
6.82,8775,11024
6.84,8730,11004
6.86,8763,11048
6.88,8680,10990
6.9,8783,11059
6.92,8750,11021
6.94,8742,10965
6.96,8703,11025
6.98,8727,11008
7,8776,11002
7.02,8748,11012
7.04,8721,11063
7.06,8747,10958
7.08,8792,11002
7.1,8759,11042
7.12,8692,11006
7.14,8782,11032
7.16,8776,11004
7.18,8790,11000
7.2,8743,11095
7.22,8734,11074
7.24,8711,11077
7.26,8738,11127
7.28,8749,11034
7.3,8801,11049
7.32,8743,10979
7.34,8737,11033
7.36,8697,11064
7.38,8767,11049
7.4,8746,11047
7.42,8729,10975
7.44,8773,11047
7.46,8745,11012
7.48,8733,10997
7.5,8756,10927
7.52,8764,11075
7.54,8706,11024
7.56,8706,10988
7.58,8770,11001
7.6,8717,11033
7.62,8734,11056
7.64,8722,11044
7.66,8724,11054
7.68,8681,11016
7.7,8754,10988
7.72,8761,11004
7.74,8744,11098
7.76,8742,10989
7.78,8752,11005
7.8,8712,11027
7.82,8714,11009
7.84,8761,10984
7.86,8764,10966
7.88,8732,11084
7.9,8729,10994
7.92,8761,11009
7.94,8761,11026
7.96,8764,11062
7.98,8719,11071
8,8579,10615
8.02,8555,10601
8.04,8569,10585
8.06,8547,10568
8.08,8559,10642
8.1,8581,10593
8.12,8581,10553
8.14,8603,10623
8.16,8544,10608
8.18,8633,10634
8.2,8613,10631
8.22,8609,10705
8.24,8626,10801
8.26,8646,10846
8.28,8736,10898
8.3,8710,10915
8.32,8761,11063
8.34,8750,11055
8.36,8784,10981
8.38,8827,11065
8.4,8804,11117
8.42,8827,11077
8.44,8757,11069
8.46,8774,11027
8.48,8800,11043
8.5,8711,10971
8.52,8741,10979
8.54,8753,10983
8.56,8850,10946
8.58,8752,10939
8.6,8757,10964
8.62,8737,10949
8.64,8798,10948
8.66,8756,10986
8.68,8798,10905
8.7,8771,10982
8.72,8757,10870
8.74,8774,10947
8.76,8716,10994
8.78,8715,10971
8.8,8783,11042
8.82,8744,11013
8.84,8766,10976
8.86,8786,11002
8.88,8749,11017
8.9,8803,11015
8.92,8756,11038
8.94,8768,10994
8.96,8772,11013
8.98,8752,11063
9,8759,10966
9.02,8741,10958
9.04,8721,10972
9.06,8751,10914
9.08,8556,10582
9.1,8470,10600
9.12,8563,10849
9.14,8722,10911
9.16,8780,10935
9.18,8742,10994
9.2,8753,11011
9.22,8803,10980
9.24,8763,10993
9.26,8754,10990
9.28,8770,10929
9.3,8803,11002
9.32,8750,10947
9.34,8800,10993
9.36,8829,11019
9.38,8760,11093
9.4,8752,11051
9.42,8783,11021
9.44,8827,11006
9.46,8793,11097
9.48,8804,11071
9.5,8758,11009
9.52,8808,11046
9.54,8788,11050
9.56,8746,11024
9.58,8806,11022
9.6,8809,10985
9.62,8790,11079
9.64,8770,11098
9.66,8746,11033
9.68,8750,10997
9.7,8786,11116
9.72,8770,11020
9.74,8755,11028
9.76,8801,11018
9.78,8736,10988
9.8,8748,10952
9.82,8796,10937
9.84,8754,11046
9.86,8745,10981
9.88,8749,11006
9.9,8761,11023
9.92,8801,10976
9.94,8710,10992
9.96,8754,11010
9.98,8798,10988
10,8772,11011
10.02,8764,11098
10.04,8813,11047
10.06,8763,11072
10.08,8821,11048
10.1,8732,11014
10.12,8770,10984
10.14,8751,11063
10.16,8761,11003
10.18,8794,11039
10.2,8749,10999
10.22,8801,11044
10.24,8783,11009
10.26,8807,10990
10.28,8748,11015
10.3,8795,11053
10.32,8766,11038
10.34,8762,11020
10.36,8747,11055
10.38,8768,10990
10.4,8787,11032
10.42,8696,10989
10.44,8777,10976
10.46,8749,11079
10.48,8755,10959
10.5,8745,11045
10.52,8749,11034
10.54,8782,10959
10.56,8815,11043
10.58,8776,11079
10.6,8803,11045
10.62,8730,11003
10.64,8703,11013
10.66,8757,11097
10.68,8745,11023
10.7,8780,10983
10.72,8759,11028
10.74,8729,10968
10.76,8741,10981
10.78,8775,11060
10.8,8744,10964
10.82,8775,11024
10.84,8730,11004
10.86,8763,11048
10.88,8680,10990
10.9,8783,11059
10.92,8750,11021
10.94,8742,10965
10.96,8703,11025
10.98,8727,11008
11,8776,11002
11.02,8748,11012
11.04,8721,11063
11.06,8747,10958
11.08,8792,11002
11.1,8759,11042
11.12,8692,11006
11.14,8782,11032
11.16,8776,11004
11.18,8790,11000
11.2,8743,11095
11.22,8734,11074
11.24,8711,11077
11.26,8738,11127
11.28,8749,11034
11.3,8801,11049
11.32,8743,10979
11.34,8737,11033
11.36,8697,11064
11.38,8767,11049
11.4,8746,11047
11.42,8729,10975
11.44,8773,11047
11.46,8745,11012
11.48,8733,10997
11.5,8756,10927
11.52,8764,11075
11.54,8706,11024
11.56,8706,10988
11.58,8770,11001
11.6,8717,11033
11.62,8734,11056
11.64,8722,11044
11.66,8724,11054
11.68,8681,11016
11.7,8754,10988
11.72,8761,11004
11.74,8744,11098
11.76,8742,10989
11.78,8752,11005
11.8,8712,11027
11.82,8714,11009
11.84,8761,10984
11.86,8764,10966
11.88,8732,11084
11.9,8729,10994
11.92,8761,11009
11.94,8761,11026
11.96,8764,11062
11.98,8719,11071
12,8765,11028
12.02,8719,11072
12.04,8728,11030
12.06,8771,11016
12.08,8725,11021
12.1,8688,10975
12.12,8719,11054
12.14,8714,10982
12.16,8763,10951
12.18,8725,11044
12.2,8703,11005
12.22,8763,11032
12.24,8764,11042
12.26,8689,11061
12.28,8713,11017
12.3,8754,11002
12.32,8758,11124
12.34,8717,11046
12.36,8701,10987
12.38,8770,11047
12.4,8733,11071
12.42,8691,11031
12.44,8751,10991
12.46,8720,11056
12.48,8677,11030
12.5,8729,11014
12.52,8764,11047
12.54,8750,11036
12.56,8749,11006
12.58,8745,11104
12.6,8704,11041
12.62,8768,11005
12.64,8739,11078
12.66,8715,11051
12.68,8729,11040
12.7,8709,11087
12.72,8724,11004
12.74,8736,11039
12.76,8737,11009
12.78,8677,11060
12.8,8711,11018
12.82,8694,11078
12.84,8696,11061
12.86,8687,11036
12.88,8702,10968
12.9,8745,11046
12.92,8708,11058
12.94,8686,11066
12.96,8706,10992
12.98,8710,11012
13,8733,11061
13.02,8744,11064
13.04,8685,11063
13.06,8693,10992
13.08,8722,10934
13.1,8731,11058
13.12,8677,11008
13.14,8653,10995
13.16,8729,11049
13.18,8696,11072
13.2,8661,11019
13.22,8732,11018
13.24,8731,11042
13.26,8655,11025
13.28,8689,118579
13.3,8555,10601
13.32,8569,10585
13.34,8547,10568
13.36,8559,10642
13.38,8581,10593
13.4,8581,10553
13.42,8603,10623
13.44,8544,10608
13.46,8633,10634
13.48,8613,10631
13.5,8609,10705
13.52,8626,10801
13.54,8646,10846
13.56,8736,10898
13.58,8710,10915
13.6,8761,11063
13.62,8750,11055
13.64,8784,10981
13.66,8827,11065
13.68,8804,11117
13.7,8827,11077
13.72,8757,11069
13.74,8774,11027
13.76,8800,11043
13.78,8711,10971
13.8,8741,10979
13.82,8753,10983
13.84,8850,10946
13.86,8752,10939
13.88,8757,10964
13.9,8737,10949
13.92,8798,10948
13.94,8756,10986
13.96,8798,10905
13.98,8771,10982
14,8757,10870
14.02,8774,10947
14.04,8716,10994
14.06,8715,10971
14.08,8783,11042
14.1,8744,11013
14.12,8766,10976
14.14,8786,11002
14.16,8749,11017
14.18,8803,11015
14.2,8756,11038
14.22,8768,10994
14.24,8772,11013
14.26,8752,11063
14.28,8759,10966
14.3,8741,10958
14.32,8721,10972
14.34,8751,10914
14.36,8556,10582
14.38,8470,10600
14.4,8563,10849
14.42,8722,10911
14.44,8780,10935
14.46,8742,10994
14.48,8753,11011
14.5,8803,10980
14.52,8763,10993
14.54,8754,10990
14.56,8770,10929
14.58,8803,11002
14.6,8750,10947
14.62,8800,10993
14.64,8829,11019
14.66,8760,11093
14.68,8752,11051
14.7,8783,11021
14.72,8827,11006
14.74,8793,11097
14.76,8804,11071
14.78,8758,11009
14.8,8808,11046
14.82,8788,11050
14.84,8746,11024
14.86,8806,11022
14.88,8809,10985
14.9,8790,11079
14.92,8770,11098
14.94,8746,11033
14.96,8750,10997
14.98,8786,11116
15,8770,11020
15.02,8755,11028
15.04,8801,11018
15.06,8736,10988
15.08,8748,10952
15.1,8796,10937
15.12,8754,11046
15.14,8745,10981
15.16,8749,11006
15.18,8761,11023
15.2,8801,10976
15.22,8710,10992
15.24,8754,11010
15.26,8798,10988
15.28,8772,11011
15.3,8764,11098
15.32,8813,11047
15.34,8763,11072
15.36,8821,11048
15.38,8732,11014
15.4,8770,10984
15.42,8751,11063
15.44,8761,11003
15.46,8794,11039
15.48,8749,10999
15.5,8801,11044
15.52,8783,11009
15.54,8807,10990
15.56,8748,11015
15.58,8795,11053
15.6,8766,11038
15.62,8762,11020
15.64,8747,11055
15.66,8768,10990
15.68,8787,11032
15.7,8696,10989
15.72,8777,10976
15.74,8749,11079
15.76,8755,10959
15.78,8745,11045
15.8,8749,11034
15.82,8782,10959
15.84,8815,11043
15.86,8776,11079
15.88,8803,11045
15.9,8730,11003
15.92,8703,11013
15.94,8757,11097
15.96,8745,11023
15.98,8780,10983
16,8759,11028
16.02,8729,10968
16.04,8741,10981
16.06,8775,11060
16.08,8744,10964
16.1,8775,11024
16.12,8730,11004
