X,Y,Z,IR,RED,HeartRate,RespirationRate,SPO2,Activity,HR Mean,RR Mean,SPO2 Mean
-0.31,-0.3,1.08,8572,10949,120,17.14285714,99.050022,4,,,
-0.3,-0.46,1.25,8545,10865,125,20.54794521,89.60053272,4,,,
-0.29,-0.4,1.12,8491,10598,93.75,22.55639098,81.48807,4,,,
-0.28,-0.36,1.3,8294,10568,83.33333333,20.40816327,88.49577484,4,,,
0,-0.65,1.41,8351,10797,90.90909091,20.40816327,99.07100297,4,,,
-0.01,-0.43,1.17,8522,10951,111.1111111,19.23076923,89.56287316,4,,,
-0.14,-0.22,0.74,8465,10941,111.1111111,11.19402985,89.9537146,4,,,
-0.13,-0.19,0.66,8455,10864,111.1111111,20.97902098,80.38008058,4,,,
0.05,-0.37,1.04,8468,10608,115.3846154,20.83333333,99.03593635,4,,,
0.17,-0.21,1.12,8065,5334,93.75,20.54794521,88.26702741,4,,,
0.16,-0.17,0.86,3203,5992,115.3846154,19.48051948,89.95370243,4,,,
-0.05,-0.1,0.65,8994,11211,125,11.23595506,80.38008084,4,,,
-0.13,-0.16,0.62,8552,11208,93.75,20.83333333,99.03593635,4,,,
-0.09,-0.19,0.66,8525,11246,83.33333333,20.83333333,88.2670274,4,,,
-0.08,-0.17,0.79,8475,11013,90.90909091,20.68965517,89.95370244,4,,,
0.03,-0.32,1.1,8454,10937,111.1111111,19.60784314,99.8900308,4,,,
0.04,-0.44,1.34,8315,10793,111.1111111,18.75,95.77659549,4,,,
0.25,-0.43,1.33,8300,10808,111.1111111,21.58273381,80.96117148,4,,,
0.15,-0.44,0.86,8320,10705,115.3846154,20.83333333,99.2035004,4,,,
0.11,-0.25,0.99,8193,10630,93.75,20.68965517,89.97853287,4,,,
0.55,-0.77,1.58,8086,10467,115.3846154,20,95.76198773,4,,,
0.56,-0.43,1.04,7937,10296,125,11.19402985,80.95385824,4,,,
0.09,-0.51,0.8,7849,10162,93.75,20.27027027,97.86821992,4,,,
-0.03,-0.4,0.96,7616,9943,75,21.12676056,93.27349147,4,,,
0,-0.2,1,7499,9848,96.77419355,20.83333333,93.2530203,4,,,
-0.03,-0.29,0.94,75418579,10615,76.92307692,19.10828025,97.87356907,4,,,
0.26,-0.79,1.34,8555,10601,125,11.36363636,93.27456922,4,,,
0.24,-0.47,1.26,8569,10585,125,20.97902098,93.25302035,4,,,
0.04,-0.3,0.96,8547,10568,103.4482759,20.97902098,97.87356908,4,,,
-0.1,-0.17,0.73,8559,10642,115.3846154,20.68965517,93.27456925,4,,,
-0.1,-0.11,0.65,8581,10593,130.4347826,19.48051948,99.4005987,4,,,
-0.16,-0.17,0.69,8581,10553,90.90909091,12.19512195,99.22326417,4,,,
-0.15,-0.21,0.69,8603,10623,272.7272727,12.5,99.58501082,4,,,
-0.14,-0.28,0.7,8544,10608,85.71428571,16.39344262,97.46953135,4,,,
-0.16,-0.35,0.93,8633,10634,71.42857143,20.27027027,99.36057757,4,,,
-0.19,-0.34,1.02,8613,10631,96.77419355,18.98734177,99.94223869,4,,,
-0.22,-0.32,1,8609,10705,130.4347826,16.57458564,95.01768362,4,,,
-0.24,-0.36,1,8626,10801,120,22.90076336,94.87303972,4,,,
