~Time(seconds),R,IR
6.4,10121,11530
6.42,10223,11508
6.44,10049,11378
6.46,10059,11515
6.48,10105,11534
6.5,10121,11665
6.52,10225,11532
6.54,10152,11530
6.56,10025,11423
6.58,10109,11498
6.6,10242,11577
6.62,10113,11468
6.64,10130,11343
6.66,10017,11468
6.68,10246,11602
6.7,10171,11543
6.72,10110,11428
6.74,10052,11457
6.76,10105,11514
6.78,10130,11557
6.8,10230,11578
6.82,10136,11517
6.84,10056,11380
6.86,10053,11485
6.88,10216,11600
6.9,10152,11509
6.92,10120,11443
6.94,10016,11463
6.96,10105,11504
6.98,10112,11581
7,10143,11514
7.02,9993,11426
7.04,10103,11505
7.06,10099,11503
7.08,10233,11583
7.1,10145,11530
7.12,9996,11423
7.14,10111,11516
7.16,10010,11395
7.18,10095,11505
7.2,10129,11493
7.22,10201,11646
7.24,10023,11496
7.26,10110,11527
7.28,10201,11624
7.3,10122,11532
7.32,10123,11435
7.34,10007,11525
7.36,10216,11591
7.38,10129,11502
7.4,10073,11363
7.42,10052,11473
7.44,10128,11388
7.46,10103,11489
7.48,10155,11453
7.5,10119,11438
7.52,9983,11416
7.54,10079,11381
7.56,10120,11492
7.58,10095,11634
7.6,10197,11559
7.62,10104,11478
7.64,9956,11472
7.66,10075,11470
7.68,10094,11495
7.7,10145,11587
7.72,10138,11502
7.74,10117,11335
7.76,10015,11471
7.78,10104,11513
7.8,10085,11617
7.82,10213,11542
7.84,10109,11485
7.86,10106,11508
7.88,10117,11492
7.9,10224,11617
7.92,10108,11525
7.94,10125,11340
7.96,10006,11485
7.98,10091,11521
8,10044,11481
8.02,10098,11517
8.04,10130,11615
8.06,10196,11543
8.08,10121,11508
8.1,9958,11372
8.12,10085,11498
8.14,10116,11488
8.16,10171,11646
8.18,10168,11530
8.2,9963,11403
8.22,10116,11523
8.24,10115,11578
8.26,10189,11567
8.28,10119,11586
8.3,10010,11406
8.32,10072,11483
8.34,10113,11497
8.36,10167,11607
8.38,10144,11443
8.4,10006,11445
8.42,10090,11494
8.44,10093,11595
8.46,10194,11554
8.48,10057,11448
8.5,10043,11464
8.52,10104,11503
8.54,10201,11578
8.56,10138,11523
8.58,10127,11469
8.6,10094,11511
8.62,10146,11555
8.64,10262,11579
8.66,10023,11420
8.68,10140,11535
8.7,10165,11553
8.72,10037,11461
8.74,10140,11642
8.76,10143,11440
8.78,10022,11461
8.8,10092,11459
8.82,10094,11545
8.84,10168,11504
8.86,10064,11408
8.88,9937,11294
8.9,10000,11397
8.92,10130,11501
8.94,10110,11370
8.96,10052,11376
8.98,9939,11319
9,10055,11386
9.02,10056,11481
9.04,10150,11456
9.06,9940,11340
9.08,10032,11351
9.1,10028,11262
9.12,10038,11528
9.14,10111,11347
9.16,9927,11226
9.18,10006,11309
9.2,10015,11278
9.22,10098,11384
9.24,10031,11284
9.26,9957,11265
9.28,9991,11252
9.3,10146,11397
9.32,10016,11288
9.34,10008,11251
9.36,9874,11196
9.38,10000,11306
9.4,10014,11325
9.42,10158,11379
9.44,10001,11345
9.46,10009,11194
9.48,9919,11272
9.5,10127,11390
9.52,10056,11356
