0.73,0.46,0.52
0.74,0.46,0.52
0.71,0.46,0.54
0.74,0.47,0.52
0.75,0.46,0.54
0.74,0.47,0.59
0.74,0.45,0.56
0.71,0.45,0.54
0.73,0.45,0.51
0.75,0.46,0.52
0.75,0.47,0.55
0.76,0.46,0.56
0.76,0.47,0.54
0.74,0.47,0.59
0.76,0.46,0.56
0.75,0.47,0.54
0.77,0.47,0.56
0.74,0.46,0.62
0.74,0.47,0.62
0.76,0.46,0.60
0.76,0.46,0.54
0.74,0.47,0.55
0.74,0.45,0.59
0.71,0.44,0.59
0.75,0.45,0.59
0.74,0.46,0.61
0.76,0.46,0.62
0.75,0.45,0.61
0.75,0.46,0.61
0.74,0.45,0.60
0.76,0.47,0.60
0.75,0.47,0.51
0.75,0.43,0.56
0.77,0.45,0.51
0.75,0.47,0.56
0.75,0.44,0.55
0.70,0.45,0.59
0.71,0.45,0.60
0.71,0.45,0.55
0.75,0.44,0.52
0.71,0.46,0.50
0.69,0.47,0.57
0.73,0.49,0.55
0.76,0.45,0.57
0.76,0.44,0.52
0.74,0.46,0.57
0.73,0.45,0.62
0.71,0.45,0.60
0.74,0.45,0.57
0.73,0.47,0.54
0.76,0.45,0.55
0.77,0.45,0.59
0.76,0.45,0.56
0.74,0.43,0.55
0.76,0.45,0.61
0.76,0.49,0.56
0.71,0.45,0.54
0.73,0.45,0.59
0.74,0.46,0.59
0.76,0.46,0.56
0.76,0.44,0.55
0.75,0.45,0.55
0.76,0.43,0.59
0.75,0.44,0.52
0.73,0.46,0.54
0.70,0.44,0.61
0.71,0.45,0.56
0.74,0.41,0.54
0.75,0.46,0.56
0.74,0.46,0.54
0.76,0.43,0.54
0.71,0.46,0.56
0.74,0.47,0.55
0.71,0.45,0.57
0.74,0.45,0.52
0.71,0.44,0.52
0.71,0.44,0.51
0.75,0.43,0.55
0.71,0.47,0.55
0.71,0.44,0.55
0.75,0.46,0.52
0.77,0.44,0.57
0.77,0.43,0.54
0.77,0.45,0.55
0.74,0.46,0.55
0.75,0.45,0.55
0.74,0.44,0.62
0.73,0.45,0.56
0.76,0.46,0.54
0.76,0.45,0.55
0.74,0.45,0.56
0.76,0.45,0.59
0.75,0.44,0.55
0.75,0.44,0.52
0.73,0.44,0.57
0.76,0.46,0.51
0.74,0.47,0.54
0.73,0.45,0.55
0.73,0.44,0.56
0.74,0.44,0.57
0.76,0.47,0.54
0.74,0.44,0.56
0.73,0.46,0.55
0.70,0.45,0.59
0.70,0.44,0.55
0.71,0.49,0.56
0.75,0.45,0.56
0.75,0.47,0.60
0.77,0.47,0.57
0.76,0.46,0.56
0.73,0.46,0.56
0.71,0.44,0.57
0.69,0.44,0.59
0.74,0.44,0.52
0.73,0.46,0.55
0.75,0.45,0.55
0.75,0.45,0.54
0.75,0.47,0.59
0.75,0.50,0.60
0.74,0.49,0.62
0.76,0.46,0.61
0.76,0.45,0.57
0.75,0.45,0.54
0.74,0.46,0.55
0.70,0.44,0.52
0.74,0.43,0.54
0.69,0.43,0.55
0.73,0.43,0.54
0.71,0.40,0.54
0.74,0.44,0.59
0.73,0.44,0.55
0.73,0.43,0.54
0.75,0.40,0.54
0.73,0.44,0.52
0.75,0.45,0.56
0.73,0.45,0.56
0.75,0.47,0.59
0.76,0.46,0.66
0.75,0.44,0.60
0.75,0.40,0.56
0.75,0.45,0.52
0.77,0.47,0.55
0.73,0.44,0.57
0.74,0.46,0.56
0.75,0.46,0.56
0.74,0.45,0.55
0.71,0.45,0.56
0.75,0.46,0.55
0.75,0.46,0.57
0.71,0.44,0.57
0.73,0.39,0.59
0.73,0.43,0.54
0.68,0.44,0.57
0.73,0.45,0.61
0.71,0.41,0.61
0.71,0.44,0.54
0.73,0.46,0.56
0.74,0.41,0.54
0.74,0.43,0.54
0.74,0.41,0.59
0.76,0.41,0.59
0.73,0.44,0.59
0.74,0.41,0.62
0.79,0.44,0.61
0.75,0.37,0.62
0.71,0.41,0.62
0.75,0.41,0.61
0.74,0.43,0.61
0.76,0.39,0.62
0.75,0.39,0.55
0.74,0.40,0.55
0.73,0.36,0.52
0.74,0.40,0.54
0.73,0.39,0.56
0.74,0.41,0.56
0.75,0.40,0.54
0.77,0.37,0.56
0.74,0.39,0.60
0.74,0.40,0.61
0.74,0.39,0.60
0.74,0.41,0.56
0.75,0.40,0.57
0.71,0.36,0.62
0.75,0.39,0.64
0.74,0.40,0.62
0.74,0.41,0.62
0.75,0.43,0.68
0.71,0.39,0.62
0.75,0.37,0.59
