X,Y,Z,IR,RED,HeartRate,RespirationRate,SPO2,Activity,Mean HR,Mean RR,Mean SPO2
-0.12,0.1,1.04,671,806,,,97.72591398,5,,,
-0.12,0.1,1,688,734,,,99.86642285,5,,,
-0.11,0.1,1,625,803,,,99.95367167,5,,,
-0.1,0.1,1.05,721,810,,,98.2463788,5,,,
-0.1,0.11,1.01,652,723,,,99.50646117,5,,,
-0.11,0.11,1.01,668,808,,,88.73558162,5,,,
-0.1,0.11,0.99,716,792,,,94.84479935,5,,,
-0.09,0.11,1,645,794,,,94.84224506,5,,,
-0.11,0.1,1,593,808,,,94.84265322,5,,,
-0.11,0.1,1,684,775,,,94.84412746,5,,,
-0.13,0.1,0.99,685,712,,,94.8445548,5,,,
-0.11,0.1,1.02,668,816,,,94.84473492,5,,,
-0.11,0.09,1.04,705,799,,,94.85276316,5,,,
-0.1,0.1,1.03,688,843,,,94.84195572,5,,,
-0.1,0.09,1.03,736,784,,,94.84477371,5,,,
-0.08,0.1,1.04,683,728,,,94.84224506,5,,,
-0.09,0.09,1.02,662,842,,,94.84265322,5,,,
-0.08,0.09,1.04,647,800,,,94.84412746,5,,,
-0.11,0.1,1.04,628,823,,,94.8445548,5,,,
-0.1,0.11,1.02,701,801,,,94.84473492,5,,,
-0.1,0.1,1.01,702,769,,,94.85276317,5,,,
-0.09,0.1,1.02,605,744,,,94.84195572,5,,,
-0.1,0.1,1.02,666,885,,,94.8439128,5,,,
-0.09,0.11,1,685,806,,,94.84321299,5,,,
-0.11,0.1,1,683,756,,,94.84417592,5,,,
-0.12,0.1,0.98,656,811,,,94.84502407,5,,,
-0.12,0.1,1.02,715,887,,,94.83831502,5,,,
-0.12,0.1,1,668,831,,,94.84371856,5,,,
-0.1,0.11,1.03,656,785,,,94.87994511,5,,,
-0.08,0.12,1.01,626,773,,,94.83914684,5,,,
-0.07,0.11,1,710,838,,,87.73267813,5,,,
-0.07,0.11,1.02,702,827,,,99.86857518,5,,,
-0.1,0.1,1.04,699,828,,,98.33913109,5,,,
-0.1,0.09,1.03,662,798,,,99.93314493,5,,,
-0.1,0.09,1.03,671,1726,,,99.70303739,5,,,
-0.11,0.09,1,1962,7638,,,98.78518684,5,,,
-0.09,0.1,1.01,6835,12934,,,90.1783283,5,,,
-0.1,0.09,1.01,11169,21300,,,93.51803832,5,,,
-0.11,0.09,1.03,19917,42634,,,94.84236436,5,,,
-0.1,0.1,1.01,58332,74529,,,94.84271377,5,,,
-0.11,0.1,1.05,88520,107624,,,94.84412836,5,,,
-0.12,0.1,0.97,90390,134138,,,94.84446252,5,,,
-0.11,0.1,0.99,91878,135130,,,94.84512867,5,,,
-0.12,0.11,1.03,92457,135430,,,94.84432,5,,,
-0.12,0.11,1.01,92775,135625,,,94.85407016,5,,,
-0.12,0.11,1.03,92921,135700,,,94.92781798,5,,,
-0.11,0.11,1.03,93094,135968,,,94.84202744,5,,,
-0.1,0.12,1,93285,136001,,,94.84271377,5,,,
-0.11,0.11,0.98,93313,135971,,,94.84412836,5,,,
-0.11,0.11,1.01,93401,136103,,,94.84446252,5,,,
-0.1,0.1,1.01,93534,136144,,,94.84512867,5,,,
-0.12,0.11,1.02,93590,136181,,,94.84432,5,,,
-0.11,0.1,1,93615,136192,,,94.85407017,5,,,
-0.09,0.09,1.03,93655,136278,,,94.92781803,5,,,
-0.1,0.09,1.02,93753,136437,,,94.84039116,5,,,
-0.08,0.1,1.03,93799,136439,,,94.83147143,5,,,
-0.11,0.1,1.01,93851,136459,,,94.84507241,5,,,
-0.12,0.1,1.01,93825,136536,,,94.84235261,5,,,
-0.09,0.1,1.04,93986,136658,,,94.84196749,5,,,
-0.09,0.1,1,93973,136660,,,94.84417366,5,,,
-0.1,0.1,1.01,94008,136818,,,94.84756915,5,,,
-0.1,0.1,1.01,94082,136947,,,94.95537787,5,,,
-0.09,0.1,0.98,94175,136966,,,94.8951013,5,,,
-0.09,0.1,1.01,94179,136997,,,97.26444337,5,,,
-0.08,0.11,1,94145,137029,,,99.01918842,5,,,
-0.09,0.1,0.99,94320,137154,,,97.65567648,5,,,
-0.1,0.1,1,94373,137181,,,99.90935136,5,,,
-0.09,0.09,1.03,94328,137238,,,96.11374514,5,,,
-0.09,0.09,1.02,94389,137290,,,94.52340133,5,,,
-0.09,0.1,1.05,94372,137356,,,98.7325149,5,,,
-0.09,0.09,1,94449,137396,,,94.84330916,5,,,
-0.08,0.1,0.99,94465,137436,,,94.83514126,5,,,
-0.08,0.1,1.05,94503,137442,,,94.84468656,5,,,
-0.1,0.09,1.03,94407,137386,,,94.83894139,5,,,
-0.09,0.1,1.05,94534,137412,,,94.84269661,5,,,
-0.1,0.09,1.02,94519,137313,,,94.84463813,5,,,
-0.09,0.09,1.05,94504,137387,,,94.8785116,5,,,
-0.1,0.1,1.04,94438,137239,,,94.84309302,5,,,
0.1,0.05,0.82,94356,137258,,,94.83514125,5,,,
-0.13,0.06,1.03,94353,137187,,,94.84468656,5,,,
-0.12,0.09,1.07,94243,137130,,,94.83894139,5,,,
-0.13,0.08,1.06,94278,137223,,,94.84269661,5,,,
-0.13,0.08,1.1,94462,137407,,,94.84463813,5,,,
-0.12,0.09,1.05,94460,137441,,,94.87851162,5,,,
-0.11,0.08,1.01,94461,137596,,,94.84465841,5,,,
-0.11,0.08,1,94697,137678,,,94.84517975,5,,,
-0.09,0.1,1,94716,137821,,,94.83085754,5,,,
-0.07,0.11,1.02,94793,137799,,,94.84200453,5,,,
-0.1,0.08,1,94880,137824,,,94.83512795,5,,,
-0.08,0.08,0.96,94848,137833,,,94.84455927,5,,,
-0.04,0.08,0.96,94932,137985,,,94.86865285,5,,,
-0.04,0.07,0.93,95006,137913,,,94.86026269,5,,,
-0.14,0.06,0.99,95011,137939,,,95.56646929,5,,,
-0.14,0.06,1.02,95032,137986,,,96.64434039,5,,,
-0.22,0.09,1.05,95201,138028,,,99.16919858,5,,,
-0.2,0.12,1.06,95142,138052,,,99.29102929,5,,,
-0.18,0.17,1.06,95199,138102,,,93.44350379,5,,,
-0.16,0.17,1.03,95202,137994,,,99.85209948,5,,,
-0.16,0.14,0.99,95100,138006,,,96.72049559,5,,,
-0.15,0.12,0.98,95246,138111,,,98.51951283,5,,,
-0.15,0.11,0.94,95266,138135,,,99.92699884,5,,,
-0.13,0.13,0.99,95344,138235,,,97.14657382,5,,,
-0.12,0.13,0.97,95412,138214,,,94.84244548,5,,,
-0.13,0.12,0.98,95380,138214,,,94.84520308,5,,,
-0.13,0.13,1.02,95465,138203,,,94.83092946,5,,,
-0.11,0.15,1.02,95460,138241,,,94.84195557,5,,,
-0.11,0.13,0.97,95482,138248,,,94.83419352,5,,,
-0.13,0.12,0.97,95518,138267,,,94.84313684,5,,,
-0.14,0.12,0.98,95613,138273,,,94.85581044,5,,,
-0.14,0.11,0.99,95577,138451,,,94.87281737,5,,,
-0.12,0.12,1.01,95770,138433,,,94.84211893,5,,,
-0.11,0.12,1.02,95870,138429,,,94.84520308,5,,,
-0.11,0.12,1.02,95773,138356,,,94.83092946,5,,,
-0.11,0.12,0.99,95765,138418,,,94.84195557,5,,,
-0.1,0.12,1.01,95955,138454,,,94.83419352,5,,,
-0.1,0.13,1.03,95923,138482,,,94.84313684,5,,,
-0.1,0.13,1.04,95871,138371,,,94.85581044,5,,,
-0.11,0.11,1.04,95787,138301,,,94.87284127,5,,,
-0.1,0.12,1.05,95876,138335,,,94.84269755,5,,,
-0.13,0.1,1,95777,138426,,,94.84456118,5,,,
-0.13,0.1,1,95966,138448,,,94.84438688,5,,,
-0.11,0.09,1.01,95881,138403,,,94.83641028,5,,,
-0.13,0.09,1.03,95889,138525,,,94.83815714,5,,,
-0.13,0.1,1.05,95766,138417,,,94.8444391,5,,,
-0.14,0.09,1.08,95814,138515,,,94.85071334,5,,,
-0.14,0.1,1.03,95950,138529,,,95.00453356,5,,,
-0.12,0.1,1.02,95855,138436,,,95.32101283,5,,,
-0.14,0.11,1.01,95875,138587,,,97.36185782,5,,,
-0.14,0.11,0.98,95898,138476,,,99.93112217,5,,,
-0.14,0.12,1.01,95880,138392,,,99.21415249,5,,,
-0.11,0.11,0.98,95899,138458,,,99.03164951,5,,,
-0.11,0.12,1.01,95922,138456,,,88.11863677,5,,,
-0.11,0.11,1.01,95855,138504,,,99.69319411,5,,,
-0.11,0.12,1.03,95916,138589,,,99.90625739,5,,,
-0.12,0.12,1.02,95962,138574,,,99.81714689,5,,,
-0.13,0.11,0.99,95962,138507,,,94.8447792,5,,,
-0.13,0.1,1,95923,138592,,,94.84509577,5,,,
-0.11,0.11,0.99,96016,138573,,,94.84053792,5,,,
-0.1,0.11,1.01,95905,138606,,,94.83712111,5,,,
-0.1,0.11,1.02,95975,138555,,,94.84000493,5,,,
-0.12,0.1,1,95955,138493,,,94.84243214,5,,,
-0.12,0.11,1.01,95959,138599,,,94.84477737,5,,,
-0.13,0.11,1.01,95943,138479,,,95.00482118,5,,,
-0.11,0.11,1,95850,138400,,,94.84477083,5,,,
-0.13,0.11,1,95980,138375,,,94.84509577,5,,,
-0.13,0.11,1.01,95917,138290,,,94.84053792,5,,,
-0.11,0.12,1.05,95874,138362,,,94.83712111,5,,,
-0.12,0.12,0.97,95890,138384,,,94.84000493,5,,,
-0.12,0.12,0.98,95961,138340,,,94.84243214,5,,,
-0.11,0.12,0.98,95916,138350,,,94.84477737,5,,,
-0.11,0.12,0.99,95935,138279,,,95.19794137,5,,,
-0.11,0.12,1.02,95942,138329,,,94.84130735,5,,,
-0.12,0.13,1.04,96060,138434,,,94.84490115,5,,,
-0.14,0.11,1.03,96074,138384,,,94.84466351,5,,,
-0.14,0.1,0.98,96048,138388,,,94.84470101,5,,,
-0.12,0.1,0.96,96107,138260,,,94.83307979,5,,,
-0.11,0.1,1.03,96015,138228,,,94.84331993,5,,,
-0.13,0.1,1.03,96048,138233,,,94.84915641,5,,,
-0.13,0.1,1,96011,138209,,,94.85050301,5,,,
-0.13,0.11,1.02,96034,138236,,,94.84963696,5,,,
-0.12,0.12,1.03,96007,138262,,,97.77374508,5,,,
-0.12,0.11,1.04,96166,138267,,,99.36003737,5,,,
-0.13,0.11,1.01,96128,138218,,,83.0817632,5,,,
-0.12,0.11,1,96139,138355,,,82.3275252,5,,,
-0.12,0.11,1.01,96134,138319,,,89.59001095,5,,,
-0.12,0.11,1.02,96081,138339,,,99.44398373,5,,,
-0.11,0.11,1.01,96204,138375,,,99.93156374,5,,,
-0.12,0.11,0.99,96192,138223,,,98.8744746,5,,,
-0.12,0.12,1.01,96189,138357,,,94.84409417,5,,,
-0.11,0.12,1.01,96209,138282,,,94.84433694,5,,,
-0.11,0.11,1.02,96200,138227,,,94.84455749,5,,,
-0.11,0.11,1.01,96215,138351,,,94.84475038,5,,,
-0.11,0.12,0.96,96227,138394,,,94.84403658,5,,,
-0.09,0.11,1,96277,138311,,,94.84113149,5,,,
-0.09,0.11,1.02,96256,138392,,,94.84550462,5,,,
-0.1,0.11,1.06,96390,138422,,,94.95343796,5,,,
-0.11,0.11,1.01,96297,138428,,,94.84412167,5,,,
-0.1,0.11,1.01,96325,138448,,,94.84433694,5,,,
-0.11,0.11,1.02,96321,138534,,,94.84455749,5,,,
-0.12,0.11,1.02,96358,138456,,,94.84475038,5,,,
-0.13,0.1,1.02,96349,138375,,,94.84403658,5,,,
-0.12,0.1,1.01,96285,138284,,,94.84113149,5,,,
-0.12,0.1,1.04,96266,138240,,,94.84550462,5,,,
-0.12,0.1,1,96328,138401,,,94.95343802,5,,,
-0.11,0.1,1,96340,138377,,,94.84364648,5,,,
-0.1,0.1,1.05,96314,138317,,,94.84542934,5,,,
-0.1,0.11,1.01,96242,138334,,,94.83963141,5,,,
