Time Period,IR,RED
6.56,95814,138515
6.58,95950,138529
6.6,95855,138436
6.62,95875,138587
6.64,95898,138476
6.66,95880,138392
6.68,95899,138458
6.7,95922,138456
6.72,95855,138504
6.74,95916,138589
6.76,95962,138574
6.78,95962,138507
6.8,95923,138592
6.82,96016,138573
6.84,95905,138606
6.86,95975,138555
6.88,95955,138493
6.9,95959,138599
6.92,95943,138479
6.94,95850,138400
6.96,95980,138375
6.98,95917,138290
7,95874,138362
7.02,95890,138384
7.04,95961,138340
7.06,95916,138350
7.08,95935,138279
7.1,95942,138329
7.12,96060,138434
7.14,96074,138384
7.16,96048,138388
7.18,96107,138260
7.2,96015,138228
7.22,96048,138233
7.24,96011,138209
7.26,96034,138236
7.28,96007,138262
7.3,96166,138267
7.32,96128,138218
7.34,96139,138355
7.36,96134,138319
7.38,96081,138339
7.4,96204,138375
7.42,96192,138223
7.44,96189,138357
7.46,96209,138282
7.48,96200,138227
7.5,96215,138351
7.52,96227,138394
7.54,96277,138311
7.56,96256,138392
7.58,96390,138422
7.6,96297,138428
7.62,96325,138448
7.64,96321,138534
7.66,96358,138456
7.68,96349,138375
7.7,96285,138284
7.72,96266,138240
7.74,96328,138401
7.76,96340,138377
7.78,96314,138317
7.8,96242,138334
7.82,96379,138326
7.84,96304,138208
7.86,96295,138386
7.88,96336,138329
7.9,96248,138364
7.92,96410,138398
7.94,96325,138266
7.96,96354,138251
7.98,96299,138323
8,96261,138321
8.02,96398,138395
8.04,96343,138331
8.06,96360,138334
8.08,96404,138387
8.1,96345,138333
8.12,96357,138404
8.14,96396,138421
8.16,96367,138374
8.18,96289,138334
8.2,96429,138324
8.22,96350,138348
8.24,96355,138417
8.26,96360,138396
8.28,96356,138283
8.3,96343,138427
8.32,96376,138368
8.34,96328,138427
8.36,96479,138387
8.38,96319,138400
8.4,96451,138392
8.42,96397,138415
8.44,96347,138389
8.46,96429,138439
8.48,96426,138344
8.5,96350,138303
8.52,96326,138356
8.54,96389,138471
8.56,96450,138373
8.58,96402,138406
8.6,96411,138489
8.62,96410,138469
8.64,96355,138405
8.66,96428,138304
8.68,96416,138379
8.7,96305,138275
8.72,96389,138397
8.74,631,809
8.76,695,779
