Time Period,IR,RED
136.78,98880,140297
136.8,98824,140392
136.82,98854,140411
136.84,98795,140341
136.86,98862,140316
136.88,98724,140328
136.9,98819,140287
136.92,98729,140344
136.94,98811,140284
136.96,98809,140411
136.98,98871,140367
137,98823,140296
137.02,98846,140395
137.04,98908,140239
137.06,98826,140182
137.08,98793,140355
137.1,98882,140288
137.12,98814,140287
137.14,98837,140256
137.16,98888,140426
137.18,98878,140321
137.2,98896,140234
137.22,98846,140285
137.24,98857,140231
137.26,98810,140157
137.28,98807,140472
137.3,98968,140613
137.32,98931,140488
137.34,98919,140423
137.36,98854,140465
137.38,98857,140330
137.4,98889,140252
137.42,98869,140302
137.44,98981,140309
137.46,98861,140356
137.48,98906,140438
137.5,98898,140432
137.52,98970,140394
137.54,98881,140327
137.56,98853,140215
137.58,98855,140395
137.6,98789,140194
137.62,98892,140479
137.64,98928,140484
137.66,98910,140444
137.68,98938,140413
137.7,98883,140480
137.72,98903,140558
137.74,98999,140508
137.76,98887,140368
137.78,98915,140589
137.8,98914,140305
137.82,98862,140289
137.84,98812,140183
137.86,98763,140197
137.88,98810,140172
137.9,98859,140066
137.92,98791,140055
137.94,98778,140298
137.96,98896,140303
137.98,98835,140080
138,98808,140295
138.02,98879,140314
138.04,98830,140106
138.06,98820,140170
138.08,98887,140272
138.1,98884,140205
138.12,98896,140314
138.14,98883,140368
138.16,98950,140478
138.18,98840,140269
138.2,98915,140205
138.22,98881,140172
138.24,98844,140167
138.26,98835,140312
138.28,98870,140212
138.3,98818,140255
138.32,98877,140284
138.34,98904,140119
138.36,98868,140271
138.38,98823,140128
138.4,98868,140296
138.42,98977,140451
138.44,98884,140229
138.46,98880,140350
138.48,98892,140391
138.5,98816,140356
138.52,98939,140359
138.54,98863,140163
138.56,98879,140284
138.58,98898,140351
138.6,98889,140298
138.62,98829,140300
138.64,98862,140207
138.66,98841,140181
138.68,98851,140331
138.7,98762,140267
138.72,98896,140323
138.74,98823,139999
138.76,98856,140266
138.78,98828,140150
138.8,98906,140407
138.82,98887,140237
138.84,98722,140026
138.86,98785,140091
138.88,98757,140296
138.9,98867,140325
138.92,98894,140347
138.94,98845,140321
138.96,98807,140319
138.98,98864,140180
139,98804,140079
139.02,98878,140191
139.04,98830,140271
139.06,98774,140305
139.08,98920,140356
139.1,98845,140261
139.12,98871,140450
139.14,98834,140239
139.16,98808,140426
139.18,98859,140283
139.2,98836,140351
139.22,98909,140473
139.24,98909,140435
139.26,98978,140396
139.28,98907,140533
139.3,98960,140541
139.32,98946,140461
139.34,98864,140207
139.36,98971,140407
139.38,98863,140182
139.4,98860,140323
139.42,98932,140330
139.44,98839,140238
139.46,98748,140237
139.48,98876,140295
139.5,98829,140211
139.52,98815,140358
139.54,98753,140160
139.56,98800,140182
139.58,98706,140054
139.6,98846,140294
139.62,98793,140150
139.64,98773,139977
139.66,98781,140120
139.68,98796,140122
139.7,98851,140109
139.72,98785,140051
139.74,98783,140000
139.76,98779,140113
139.78,98724,140162
139.8,98769,140044
139.82,98777,139972
139.84,98828,140323
139.86,98847,140212
139.88,98850,140206
139.9,98824,140245
139.92,98881,140260
139.94,98774,140086
139.96,98777,140210
139.98,98887,140351
140,98942,140178
140.02,98800,140209
140.04,98827,140293
140.06,98856,140276
140.08,98870,140361
140.1,98861,140379
140.12,98919,140491
140.14,98797,140275
140.16,98940,140339
140.18,98871,140218
140.2,98855,140230
140.22,98844,140232
140.24,98807,140182
140.26,98888,140246
140.28,98977,140316
140.3,98835,14012398795
140.32,98821,139979
140.34,98870,140067
140.36,98835,139981
140.38,98800,139957
140.4,98726,139786
140.42,98744,140129
140.44,98831,140055
140.46,98910,140157
140.48,98858,140162
140.5,98864,140296
140.52,98861,140166
140.54,98901,140323
140.56,98880,140380
140.58,98908,140411
140.6,98885,140245
140.62,98917,140491
140.64,98904,140368
140.66,98830,140265
140.68,98938,140284
140.7,98880,140185
140.72,98863,140346
140.74,98945,140389
140.76,98893,140229
140.78,98771,140106
140.8,98805,140111
140.82,98738,140301
140.84,98829,140217
140.86,98783,140247
140.88,98798,140344
140.9,98774,140241
140.92,98797,140264
140.94,98914,140418
140.96,98887,140324
140.98,98908,140457
141,98921,140376
141.02,98893,140451
141.04,98807,140234
141.06,98816,140142
141.08,98780,139973
141.1,98727,139911
141.12,98664,139899
141.14,98726,140069
141.16,98843,140322
141.18,98779,140229
141.2,98802,140276
141.22,98870,140479
141.24,98880,140297
141.26,98824,140392
141.28,98854,140411
141.3,98795,140341
141.32,98862,140316
141.34,98724,140328
141.36,98819,140287
141.38,98729,140344
141.4,98811,140284
141.42,98809,140411
141.44,98871,140367
141.46,98823,140296
141.48,98846,140395
141.5,98908,140239
141.52,98826,140182
141.54,98793,140355
141.56,98882,140288
141.58,98814,140287
141.6,98837,140256
141.62,98888,140426
141.64,98878,140321
141.66,98896,140234
141.68,98846,140285
141.7,98857,140231
141.72,98810,140157
141.74,98807,140472
141.76,98968,140613
141.78,98931,140488
141.8,98919,140423
141.82,98854,140465
141.84,98857,140330
141.86,98889,140252
141.88,98869,140302
141.9,98981,140309
141.92,98861,140356
141.94,98906,140438
141.96,98898,140432
141.98,98970,140394
142,98881,140327
142.02,98853,140215
142.04,98855,140395
142.06,98789,140194
142.08,98892,140479
142.1,98928,140484
142.12,98910,140444
142.14,98938,140413
142.16,98883,140480
142.18,98903,140558
142.2,98999,140508
142.22,98887,140368
142.24,98915,140589
142.26,98914,140305
142.28,98862,140289
142.3,98812,140183
142.32,98763,140197
142.34,98810,140172
142.36,98859,140066
142.38,98791,140055
142.4,98778,140298
142.42,98896,140303
142.44,98835,140080
142.46,98808,140295
142.48,98879,140314
142.5,98830,140106
142.52,98820,140170
142.54,98887,140272
142.56,98884,140205
142.58,98896,140314
142.6,98883,140368
142.62,98950,140478
142.64,98840,140269
142.66,98915,140205
142.68,98881,140172
142.7,98844,140167
142.72,98835,140312
142.74,98870,140212
142.76,98818,140255
142.78,98877,140284
142.8,98904,140119
142.82,98868,140271
142.84,98823,140128
142.86,98868,140296
142.88,98977,140451
142.9,98884,140229
142.92,98880,140350
142.94,98892,140391
142.96,98816,140356
142.98,98939,140359
143,98863,140163
143.02,98879,140284
143.04,98898,140351
143.06,98889,140298
143.08,98829,140300
143.1,98862,140207
143.12,98841,140181
143.14,98851,140331
143.16,98762,140267
143.18,98896,140323
143.2,98823,139999
143.22,98856,140266
143.24,98828,140150
143.26,98906,140407
143.28,98887,140237
143.3,98722,140026
143.32,98785,140091
143.34,98757,140296
143.36,98867,140325
143.38,98894,140347
143.4,98845,140321
143.42,98807,140319
143.44,98864,140180
143.46,98804,140079
143.48,98878,140191
143.5,98830,140271
143.52,98774,140305
143.54,98920,140356
143.56,98845,140261
143.58,98871,140450
143.6,98834,140239
143.62,98808,140426
143.64,98859,140283
143.66,98836,140351
143.68,98909,140473
143.7,98909,140435
143.72,98978,140396
143.74,98907,140533
143.76,98960,140541
143.78,98946,140461
143.8,98864,140207
143.82,98971,140407
143.84,98863,140182
143.86,98860,140323
143.88,98932,140330
143.9,98839,140238
143.92,98748,140237
143.94,98876,140295
143.96,98829,140211
143.98,98815,140358
144,98753,140160
144.02,98800,140182
144.04,98706,140054
144.06,98846,140294
144.08,98793,140150
144.1,98773,139977
144.12,98781,140120
144.14,98796,140122
144.16,98851,140109
144.18,98785,140051
144.2,98783,140000
144.22,98779,140113
144.24,98724,140162
144.26,98769,140044
144.28,98777,139972
144.3,98828,140323
144.32,98847,140212
144.34,98850,140206
144.36,98824,140245
144.38,98881,140260
144.4,98774,140086
144.42,98777,140210
144.44,98887,140351
144.46,98942,140178
144.48,98800,140209
144.5,98827,140293
144.52,98856,140276
144.54,98870,140361
144.56,98861,140379
144.58,98919,140491
144.6,98797,140275
144.62,98940,140339
144.64,98871,140218
144.66,98855,140230
144.68,98844,140232
144.7,98807,140182
144.72,98888,140246
144.74,98977,140316
144.76,98835,14012398795
144.78,98821,139979
144.8,98870,140067
144.82,98835,139981
144.84,98800,139957
144.86,98726,139786
144.88,98744,140129
144.9,98831,140055
144.92,98910,140157
144.94,98858,140162
144.96,98864,140296
144.98,98861,140166
145,98901,140323
145.02,98880,140380
145.04,98908,140411
145.06,98885,140245
145.08,98917,140491
145.1,98904,140368
145.12,98830,140265
145.14,98938,140284
145.16,98880,140185
145.18,98863,140346
145.2,98945,140389
145.22,98893,140229
145.24,98771,140106
145.26,98805,140111
145.28,98738,140301
145.3,98829,140217
145.32,98783,140247
145.34,98798,140344
145.36,98774,140241
145.38,98797,140264
145.4,98914,140418
145.42,98887,140324
145.44,98908,140457
145.46,98921,140376
145.48,98893,140451
145.5,98807,140234
145.52,98816,140142
145.54,98780,139973
145.56,98727,139911
145.58,98664,139899
145.6,98726,140069
145.62,98843,140322
145.64,98779,140229
145.66,98802,140276
145.68,98870,140479
145.7,98880,140297
145.72,98824,140392
145.74,98854,140411
145.76,98795,140341
145.78,98862,140316
145.8,98724,140328
145.82,98819,140287
145.84,98729,140344
145.86,98811,140284
145.88,98809,140411
145.9,98871,140367
145.92,98823,140296
145.94,98846,140395
145.96,98908,140239
145.98,98826,140182
146,98793,140355
146.02,98882,140288
146.04,98814,140287
146.06,98837,140256
146.08,98888,140426
146.1,98878,140321
146.12,98896,140234
146.14,98846,140285
146.16,98857,140231
146.18,98810,140157
146.2,98807,140472
146.22,98968,140613
146.24,98931,140488
146.26,98919,140423
146.28,98854,140465
146.3,98857,140330
146.32,98889,140252
146.34,98869,140302
146.36,98981,140309
146.38,98861,140356
146.4,98906,140438
146.42,98898,140432
146.44,98970,140394
146.46,98881,140327
146.48,98853,140215
146.5,98855,140395
146.52,98789,140194
146.54,98892,140479
146.56,98928,140484
146.58,98910,140444
146.6,98938,140413
146.62,98883,140480
146.64,98903,140558
146.66,98999,140508
146.68,98887,140368
146.7,98915,140589
146.72,98914,140305
146.74,98862,140289
146.76,98812,140183
146.78,98763,140197
146.8,98810,140172
146.82,98859,140066
146.84,98791,140055
146.86,98778,140298
146.88,98896,140303
146.9,98835,140080
146.92,98808,140295
146.94,98879,140314
146.96,98830,140106
146.98,98820,140170
147,98887,140272
147.02,98884,140205
147.04,98896,140314
147.06,98883,140368
147.08,98950,140478
147.1,98840,140269
147.12,98915,140205
147.14,98881,140172
147.16,98844,140167
147.18,98835,140312
147.2,98870,140212
147.22,98818,140255
147.24,98877,140284
147.26,98904,140119
147.28,98868,140271
147.3,98823,140128
147.32,98868,140296
147.34,98977,140451
147.36,98884,140229
147.38,98880,140350
147.4,98892,140391
147.42,98816,140356
147.44,98939,140359
147.46,98863,140163
147.48,98879,140284
147.5,98898,140351
147.52,98889,140298
147.54,98829,140300
147.56,98862,140207
147.58,98841,140181
147.6,98851,140331
147.62,98762,140267
147.64,98896,140323
147.66,98823,139999
147.68,98856,140266
147.7,98828,140150
147.72,98906,140407
147.74,98887,140237
147.76,98722,140026
147.78,98785,140091
147.8,98757,140296
147.82,98867,140325
147.84,98894,140347
147.86,98845,140321
147.88,98807,140319
147.9,98864,140180
147.92,98804,140079
147.94,98878,140191
147.96,98830,140271
147.98,98774,140305
148,98920,140356
148.02,98845,140261
148.04,98871,140450
148.06,98834,140239
148.08,98808,140426
148.1,98859,140283
148.12,98836,140351
148.14,98909,140473
148.16,98909,140435
148.18,98978,140396
148.2,98907,140533
148.22,98960,140541
148.24,98946,140461
148.26,98864,140207
148.28,98971,140407
148.3,98863,140182
148.32,98860,140323
148.34,98932,140330
148.36,98839,140238
148.38,98748,140237
148.4,98876,140295
148.42,98829,140211
148.44,98815,140358
148.46,98753,140160
148.48,98800,140182
148.5,98706,140054
148.52,98846,140294
148.54,98793,140150
148.56,98773,139977
148.58,98781,140120
148.6,98796,140122
148.62,98851,140109
148.64,98785,140051
148.66,98783,140000
148.68,98779,140113
148.7,98724,140162
148.72,98769,140044
148.74,98777,139972
148.76,98828,140323
148.78,98847,140212
148.8,98850,140206
148.82,98824,140245
148.84,98881,140260
148.86,98774,140086
148.88,98777,140210
148.9,98887,140351
148.92,98942,140178
148.94,98800,140209
148.96,98827,140293
148.98,98856,140276
149,98870,140361
149.02,98861,140379
149.04,98919,140491
149.06,98797,140275
149.08,98940,140339
149.1,98871,140218
149.12,98855,140230
149.14,98844,140232
149.16,98807,140182
149.18,98888,140246
149.2,98977,140316
149.22,98835,14012398559
149.24,98747,139963
149.26,98709,140091
149.28,98700,139912
149.3,98712,139795
149.32,98701,139856
149.34,98733,139801
149.36,98676,139678
149.38,98657,139742
149.4,98646,139730
149.42,98625,139775
149.44,98624,139806
149.46,98716,139878
149.48,98682,139777
149.5,98656,139984
149.52,98674,139844
149.54,98680,139815
149.56,98714,139916
149.58,98696,139891
149.6,98659,139765
149.62,98612,139673
149.64,98638,139921
149.66,98661,139886
149.68,98666,139836
149.7,98623,139863
149.72,98656,139816
149.74,98744,139948
149.76,98669,139852
149.78,98674,139866
149.8,98659,139791
149.82,98662,139818
149.84,98713,139790
149.86,98738,139938
149.88,98720,140028
149.9,98735,140191
149.92,98814,139925
149.94,98745,139941
149.96,98790,140144
149.98,98816,139979
150,98784,139956
150.02,98808,140152
150.04,98831,140145
150.06,98818,140095
150.08,98764,139883
150.1,98711,140039
150.12,98748,139904
150.14,98669,139728
150.16,98643,139758
150.18,98717,139869
150.2,98690,139793
150.22,98629,139869
150.24,98776,139829
150.26,98708,139800
150.28,98741,139895
150.3,98675,139923
150.32,98712,139788
150.34,98640,139744
150.36,98731,139854
150.38,98763,139928
150.4,98733,139952
150.42,98721,139898
150.44,98630,139763
150.46,98599,139785
150.48,98662,139820
150.5,98684,139860
150.52,98626,139901
150.54,98749,139872
150.56,98723,139883
150.58,98692,139882
150.6,98708,139894
150.62,98700,139801
150.64,98687,139856
150.66,98644,139825
150.68,98816,140079
150.7,98776,139849
150.72,98787,140149
150.74,98752,139834
150.76,98763,139845
150.78,98770,139955
150.8,98768,140007
150.82,98763,140022
150.84,98858,140160
150.86,98780,139937
150.88,98697,139862
150.9,98672,139820
150.92,98663,139972
150.94,98777,139904
150.96,98747,139954
150.98,98751,139952
151,98671,139929
151.02,98748,140055
151.04,98820,140210
151.06,98850,140154
151.08,98846,140313
151.1,98848,139951
151.12,98728,139987
151.14,98803,139842
151.16,98739,139932
151.18,98752,139872
151.2,98691,139820
151.22,98559,139862
151.24,98747,139963
151.26,98709,140091
151.28,98700,139912
151.3,98712,139795
151.32,98701,139856
151.34,98733,139801
151.36,98676,139678
151.38,98657,139742
151.4,98646,139730
151.42,98625,139775
151.44,98624,139806
151.46,98716,139878
151.48,98682,139777
151.5,98656,139984
151.52,98674,139844
151.54,98680,139815
151.56,98714,139916
151.58,98696,139891
151.6,98659,139765
151.62,98612,139673
151.64,98638,139921
151.66,98661,139886
151.68,98666,139836
151.7,98623,139863
151.72,98656,139816
151.74,98744,139948
151.76,98669,139852
151.78,98674,139866
151.8,98659,139791
151.82,98662,139818
151.84,98713,139790
151.86,98738,139938
151.88,98720,140028
151.9,98735,140191
151.92,98814,139925
151.94,98745,139941
151.96,98790,140144
151.98,98816,139979
152,98784,139956
152.02,98808,140152
152.04,98831,140145
152.06,98818,140095
152.08,98764,139883
152.1,98711,140039
152.12,98748,139904
152.14,98669,139728
152.16,98643,139758
152.18,98717,139869
152.2,98690,139793
152.22,98629,139869
152.24,98776,139829
152.26,98708,139800
152.28,98741,139895
152.3,98675,139923
152.32,98712,139788
152.34,98640,139744
152.36,98731,139854
152.38,98763,139928
152.4,98733,139952
152.42,98721,139898
152.44,98630,139763
152.46,98599,139785
152.48,98662,139820
152.5,98684,139860
152.52,98626,139901
152.54,98749,139872
152.56,98723,139883
152.58,98692,139882
152.6,98708,139894
152.62,98700,139801
152.64,98687,139856
152.66,98644,139825
152.68,98816,140079
152.7,98776,139849
152.72,98787,140149
152.74,98752,139834
152.76,98763,139845
152.78,98770,139955
152.8,98768,140007
152.82,98763,140022
152.84,98858,140160
152.86,98780,139937
152.88,98697,139862
152.9,98672,139820
152.92,98663,139972
152.94,98777,139904
152.96,98747,139954
152.98,98751,139952
153,98671,139929
153.02,98748,140055
153.04,98820,140210
153.06,98850,140154
153.08,98846,140313
153.1,98848,139951
153.12,98728,139987
153.14,98803,139842
153.16,98739,139932
153.18,98752,139872
153.2,98691,139820
153.22,98834,139980
153.24,98728,140070
153.26,98871,140036
153.28,98832,140093
153.3,98744,139716
153.32,98668,139805
153.34,98690,139830
153.36,98740,139952
153.38,98798,139963
153.4,98752,139910
153.42,98725,139940
153.44,98767,140062
153.46,98779,139902
153.48,98804,140202
153.5,98789,139827
153.52,98743,139998
153.54,98817,140083
153.56,98836,140086
153.58,98824,140187
153.6,98922,140217
153.62,98796,140164
153.64,98838,140187
153.66,98787,140037
153.68,98800,140169
153.7,98806,139917
153.72,98795,140024
153.74,98835,140026
153.76,98781,139988
153.78,98747,140076
153.8,98808,140235
153.82,98806,140140
153.84,98776,140149
153.86,98758,139949
153.88,98714,140079
153.9,98769,139947
153.92,98744,139967
153.94,98723,140194
153.96,98941,140418
153.98,98933,140355
154,98856,140256
154.02,98904,140162
154.04,98795,139882
154.06,98666,139628
154.08,98551,139621
154.1,98598,139547
154.12,98598,139574
154.14,98705,139576
154.16,98634,139769
154.18,98726,139851
154.2,98679,139954
154.22,98729,139758
154.24,98769,139780
154.26,98649,139744
154.28,98740,139820
154.3,98783,139873
154.32,98818,139982
154.34,98898,140105
154.36,98852,139937
154.38,98758,139828
154.4,98851,139820
154.42,98737,139729
154.44,98775,139917
154.46,98816,139813
154.48,98834,139852
154.5,98744,139849
154.52,98677,139826
154.54,98777,139812
154.56,98744,139846
154.58,98759,140000
154.6,98828,140083
154.62,98831,139973
154.64,98806,140033
154.66,98833,140054
154.68,98757,140228
154.7,98921,140310
154.72,98883,140251
154.74,98864,140266
154.76,98881,140146
154.78,98828,140145
154.8,98796,139983
154.82,98768,139992
154.84,98813,140097
154.86,98850,140098
154.88,98818,140249
154.9,98884,140234
154.92,98870,140201
154.94,98866,140160
154.96,98814,140090
154.98,98889,140069
155,98839,140108
155.02,98798,140184
155.04,98886,140117
155.06,98851,140233
155.08,98873,140246
155.1,98972,140535
155.12,98867,140170
155.14,98956,140361
155.16,98961,140498
155.18,98917,140372
155.2,98930,140459
155.22,98559,139862
155.24,98747,139963
155.26,98709,140091
155.28,98700,139912
155.3,98712,139795
155.32,98701,139856
155.34,98733,139801
155.36,98676,139678
155.38,98657,139742
155.4,98646,139730
155.42,98625,139775
155.44,98624,139806
155.46,98716,139878
155.48,98682,139777
155.5,98656,139984
155.52,98674,139844
155.54,98680,139815
155.56,98714,139916
155.58,98696,139891
155.6,98659,139765
155.62,98612,139673
155.64,98638,139921
155.66,98661,139886
155.68,98666,139836
155.7,98623,139863
155.72,98656,139816
155.74,98744,139948
155.76,98669,139852
155.78,98674,139866
155.8,98659,139791
155.82,98662,139818
155.84,98713,139790
155.86,98738,139938
155.88,98720,140028
155.9,98735,140191
155.92,98814,139925
155.94,98745,139941
155.96,98790,140144
155.98,98816,139979
156,98784,139956
156.02,98808,140152
156.04,98831,140145
156.06,98818,140095
156.08,98764,139883
156.1,98711,140039
156.12,98748,139904
156.14,98669,139728
156.16,98643,139758
156.18,98717,139869
156.2,98690,139793
156.22,98629,139869
156.24,98776,139829
156.26,98708,139800
156.28,98741,139895
156.3,98675,139923
156.32,98712,139788
156.34,98640,139744
156.36,98731,139854
156.38,98763,139928
156.4,98733,139952
156.42,98721,139898
156.44,98630,139763
156.46,98599,139785
156.48,98662,139820
156.5,98684,139860
156.52,98626,139901
156.54,98749,139872
156.56,98723,139883
156.58,98692,139882
156.6,98708,139894
156.62,98700,139801
156.64,98687,139856
156.66,98644,139825
156.68,98816,140079
156.7,98776,139849
156.72,98787,140149
156.74,98752,139834
156.76,98763,139845
156.78,98770,139955
156.8,98768,140007
156.82,98763,140022
156.84,98858,140160
156.86,98780,139937
156.88,98697,139862
156.9,98672,139820
156.92,98663,139972
156.94,98777,139904
156.96,98747,139954
156.98,98751,139952
157,98671,139929
157.02,98748,140055
157.04,98820,140210
157.06,98850,140154
157.08,98846,140313
157.1,98848,139951
157.12,98728,139987
157.14,98803,139842
157.16,98739,139932
157.18,98752,139872
157.2,98691,139820
157.22,98834,139980
157.24,98728,140070
157.26,98871,140036
157.28,98832,140093
157.3,98744,139716
157.32,98668,139805
157.34,98690,139830
157.36,98740,139952
157.38,98798,139963
157.4,98752,139910
157.42,98725,139940
157.44,98767,140062
157.46,98779,139902
157.48,98804,140202
157.5,98789,139827
157.52,98743,139998
157.54,98817,140083
157.56,98836,140086
157.58,98824,140187
157.6,98922,140217
157.62,98796,140164
157.64,98838,140187
157.66,98787,140037
157.68,98800,140169
157.7,98806,139917
157.72,98795,140024
157.74,98835,140026
157.76,98781,139988
157.78,98747,140076
157.8,98808,140235
157.82,98806,140140
157.84,98776,140149
157.86,98758,139949
157.88,98714,140079
157.9,98769,139947
157.92,98744,139967
157.94,98723,140194
157.96,98941,140418
157.98,98933,140355
158,98856,140256
158.02,98904,140162
158.04,98795,139882
158.06,98666,139628
158.08,98551,139621
158.1,98598,139547
158.12,98598,139574
158.14,98705,139576
158.16,98634,139769
158.18,98726,139851
158.2,98679,139954
158.22,98729,139758
158.24,98769,139780
158.26,98649,139744
158.28,98740,139820
158.3,98783,139873
158.32,98818,139982
158.34,98898,140105
158.36,98852,139937
158.38,98758,139828
158.4,98851,139820
158.42,98737,139729
158.44,98775,139917
158.46,98816,139813
158.48,98834,139852
158.5,98744,139849
158.52,98677,139826
158.54,98777,139812
158.56,98744,139846
158.58,98759,140000
158.6,98828,140083
158.62,98831,139973
158.64,98806,140033
158.66,98833,140054
158.68,98757,140228
158.7,98921,140310
158.72,98883,140251
158.74,98864,140266
158.76,98881,140146
158.78,98828,140145
158.8,98796,139983
158.82,98768,139992
158.84,98813,140097
158.86,98850,140098
158.88,98818,140249
158.9,98884,140234
158.92,98870,140201
158.94,98866,140160
158.96,98814,140090
158.98,98889,140069
159,98839,140108
159.02,98798,140184
159.04,98886,140117
159.06,98851,140233
159.08,98873,140246
159.1,98972,140535
159.12,98867,140170
159.14,98956,140361
159.16,98961,140498
159.18,98917,140372
159.2,98930,140459
159.22,99022,140291
159.24,98906,140169
159.26,98958,140416
159.28,98991,140235
159.3,98883,140168
159.32,98932,140318
159.34,98910,140073
159.36,98774,139982
159.38,98856,140214
159.4,98895,140015
159.42,98836,140179
159.44,98715,139722
159.46,98814,140038
159.48,98776,139914
159.5,98873,139999
159.52,98890,140240
159.54,99013,140478
159.56,98956,140406
159.58,99023,140369
159.6,98957,140290
159.62,98901,140147
159.64,98820,139939
159.66,98837,140254
159.68,98964,14015498559
159.7,98747,139963
159.72,98709,140091
159.74,98700,139912
159.76,98712,139795
159.78,98701,139856
159.8,98733,139801
159.82,98676,139678
159.84,98657,139742
159.86,98646,139730
159.88,98625,139775
159.9,98624,139806
159.92,98716,139878
159.94,98682,139777
159.96,98656,139984
159.98,98674,139844
160,98680,139815
160.02,98714,139916
160.04,98696,139891
160.06,98659,139765
160.08,98612,139673
160.1,98638,139921
160.12,98661,139886
160.14,98666,139836
160.16,98623,139863
160.18,98656,139816
160.2,98744,139948
160.22,98669,139852
160.24,98674,139866
160.26,98659,139791
160.28,98662,139818
160.3,98713,139790
160.32,98738,139938
160.34,98720,140028
160.36,98735,140191
160.38,98814,139925
160.4,98745,139941
160.42,98790,140144
160.44,98816,139979
160.46,98784,139956
160.48,98808,140152
160.5,98831,140145
160.52,98818,140095
160.54,98764,139883
160.56,98711,140039
160.58,98748,139904
160.6,98669,139728
160.62,98643,139758
160.64,98717,139869
160.66,98690,139793
160.68,98629,139869
160.7,98776,139829
160.72,98708,139800
160.74,98741,139895
160.76,98675,139923
160.78,98712,139788
160.8,98640,139744
160.82,98731,139854
160.84,98763,139928
160.86,98733,139952
160.88,98721,139898
160.9,98630,139763
160.92,98599,139785
160.94,98662,139820
160.96,98684,139860
160.98,98626,139901
161,98749,139872
161.02,98723,139883
161.04,98692,139882
161.06,98708,139894
161.08,98700,139801
161.1,98687,139856
161.12,98644,139825
161.14,98816,140079
161.16,98776,139849
161.18,98787,140149
161.2,98752,139834
161.22,98763,139845
161.24,98770,139955
161.26,98768,140007
161.28,98763,140022
161.3,98858,140160
161.32,98780,139937
161.34,98697,139862
161.36,98672,139820
161.38,98663,139972
161.4,98777,139904
161.42,98747,139954
161.44,98751,139952
161.46,98671,139929
161.48,98748,140055
161.5,98820,140210
161.52,98850,140154
161.54,98846,140313
161.56,98848,139951
161.58,98728,139987
161.6,98803,139842
161.62,98739,139932
161.64,98752,139872
161.66,98691,139820
161.68,98834,139980
161.7,98728,140070
161.72,98871,140036
161.74,98832,140093
161.76,98744,139716
161.78,98668,139805
161.8,98690,139830
161.82,98740,139952
161.84,98798,139963
161.86,98752,139910
161.88,98725,139940
161.9,98767,140062
161.92,98779,139902
161.94,98804,140202
161.96,98789,139827
161.98,98743,139998
162,98817,140083
162.02,98836,140086
162.04,98824,140187
162.06,98922,140217
162.08,98796,140164
162.1,98838,140187
162.12,98787,140037
162.14,98800,140169
162.16,98806,139917
162.18,98795,140024
162.2,98835,140026
162.22,98781,139988
162.24,98747,140076
162.26,98808,140235
162.28,98806,140140
162.3,98776,140149
162.32,98758,139949
162.34,98714,140079
162.36,98769,139947
162.38,98744,139967
162.4,98723,140194
162.42,98941,140418
162.44,98933,140355
162.46,98856,140256
162.48,98904,140162
162.5,98795,139882
162.52,98666,139628
162.54,98551,139621
162.56,98598,139547
162.58,98598,139574
162.6,98705,139576
162.62,98634,139769
162.64,98726,139851
162.66,98679,139954
162.68,98729,139758
162.7,98769,139780
162.72,98649,139744
162.74,98740,139820
162.76,98783,139873
162.78,98818,139982
162.8,98898,140105
162.82,98852,139937
162.84,98758,139828
162.86,98851,139820
162.88,98737,139729
162.9,98775,139917
162.92,98816,139813
162.94,98834,139852
162.96,98744,139849
162.98,98677,139826
163,98777,139812
163.02,98744,139846
163.04,98759,140000
163.06,98828,140083
163.08,98831,139973
163.1,98806,140033
163.12,98833,140054
163.14,98757,140228
163.16,98921,140310
163.18,98883,140251
163.2,98864,140266
163.22,98881,140146
163.24,98828,140145
163.26,98796,139983
163.28,98768,139992
163.3,98813,140097
163.32,98850,140098
163.34,98818,140249
163.36,98884,140234
163.38,98870,140201
163.4,98866,140160
163.42,98814,140090
163.44,98889,140069
163.46,98839,140108
163.48,98798,140184
163.5,98886,140117
163.52,98851,140233
163.54,98873,140246
163.56,98972,140535
163.58,98867,140170
163.6,98956,140361
163.62,98961,140498
163.64,98917,140372
163.66,98930,140459
163.68,99022,140291
163.7,98906,140169
163.72,98958,140416
163.74,98991,140235
163.76,98883,140168
163.78,98932,140318
163.8,98910,140073
163.82,98774,139982
163.84,98856,140214
163.86,98895,140015
163.88,98836,140179
163.9,98715,139722
163.92,98814,140038
163.94,98776,139914
163.96,98873,139999
163.98,98890,140240
164,99013,140478
164.02,98956,140406
164.04,99023,140369
164.06,98957,140290
164.08,98901,140147
164.1,98820,139939
164.12,98837,140254
164.14,98964,14015498559
164.16,98747,139963
164.18,98709,140091
164.2,98700,139912
164.22,98712,139795
164.24,98701,139856
164.26,98733,139801
164.28,98676,139678
164.3,98657,139742
164.32,98646,139730
164.34,98625,139775
164.36,98624,139806
164.38,98716,139878
164.4,98682,139777
164.42,98656,139984
164.44,98674,139844
164.46,98680,139815
164.48,98714,139916
164.5,98696,139891
164.52,98659,139765
164.54,98612,139673
164.56,98638,139921
164.58,98661,139886
164.6,98666,139836
164.62,98623,139863
164.64,98656,139816
164.66,98744,139948
164.68,98669,139852
164.7,98674,139866
164.72,98659,139791
164.74,98662,139818
164.76,98713,139790
164.78,98738,139938
164.8,98720,140028
164.82,98735,140191
