~Time(seconds),R,IR
6.4,9967,11962
6.42,10075,12036
6.44,9920,11940
6.46,9952,11805
6.48,9816,11920
6.5,9961,11956
6.52,9963,11923
6.54,10031,11953
6.56,9793,11773
6.58,9884,11961
6.6,9988,11921
6.62,9873,11831
6.64,9767,11794
6.66,9871,11918
6.68,9954,11976
6.7,9919,11893
6.72,9926,11716
6.74,9842,11860
6.76,9912,11878
6.78,9932,12022
6.8,10001,11930
6.82,9905,11832
6.84,9739,11753
6.86,9862,11835
6.88,9881,11864
6.9,9971,11964
6.92,9889,11862
6.94,9866,11870
6.96,9900,11877
6.98,9940,11872
7,9828,11788
7.02,9839,11878
7.04,9937,11900
7.06,9943,12044
7.08,9964,11861
7.1,9898,11906
7.12,9780,11794
7.14,9880,11902
7.16,9997,11950
7.18,9904,11883
7.2,9901,12040
7.22,10026,11957
7.24,9922,11919
7.26,9926,11925
7.28,9935,12020
7.3,9910,11921
7.32,9921,11834
7.34,9846,11896
7.36,9940,11927
7.38,9938,11933
7.4,9992,11963
7.42,9932,11792
7.44,9848,11929
7.46,9937,11966
7.48,9932,12044
7.5,9887,11935
7.52,9920,11930
7.54,10101,12060
7.56,9971,11971
7.58,9966,11905
7.6,9881,11829
7.62,9848,11852
7.64,9878,11839
7.66,9873,11956
7.68,9935,11737
7.7,9821,11675
7.72,9695,11532
7.74,9730,11623
7.76,9744,11670
7.78,9746,11527
7.8,9627,11519
7.82,9728,11592
7.84,9740,11596
7.86,9868,11679
7.88,9726,11582
7.9,9654,11495
7.92,9694,11549
7.94,9726,11579
7.96,9761,11602
7.98,9584,11507
8,9796,11618
8.02,9736,11554
8.04,9690,11461
8.06,9652,11552
8.08,9762,11590
8.1,9746,11731
8.12,9833,11641
8.14,9760,11613
8.16,9635,11569
8.18,9771,11695
8.2,9801,11694
8.22,9925,11798
8.24,9761,11691
8.26,9790,11596
8.28,9745,11544
8.3,9803,11626
8.32,9781,11487
8.34,9710,11563
8.36,9631,11599
8.38,9738,11656
8.4,9820,11690
8.42,9819,11665
8.44,9633,11538
8.46,9760,11701
8.48,9839,11740
8.5,9962,11819
8.52,9900,11714
8.54,9727,11505
8.56,9689,11553
8.58,9903,11670
8.6,9742,11574
8.62,9733,11561
8.64,9585,11459
8.66,9670,11589
8.68,9734,11450
8.7,9665,11476
8.72,9588,11403
8.74,9708,11612
8.76,9783,11535
8.78,9670,11356
8.8,9493,11258
8.82,9587,11339
8.84,9594,11483
8.86,9655,11394
8.88,9650,11288
8.9,9512,11317
8.92,9618,11424
8.94,9661,11437
8.96,9774,11530
8.98,9698,11509
9,9638,11356
9.02,9609,11428
9.04,9653,11481
9.06,9883,11642
9.08,9686,11487
9.1,9680,11471
9.12,9826,11551
9.14,9515,11416
9.16,9670,11410
9.18,9770,11497
9.2,9635,11333
9.22,9630,11206
9.24,9754,11399
9.26,9603,11234
9.28,9536,11284
9.3,9591,11278
9.32,9595,11354
9.34,9626,11251
9.36,9559,11163
9.38,9476,11211
9.4,9546,11219
9.42,9582,11326
9.44,9610,11143
9.46,9691,11204
9.48,9466,11064
9.5,9479,10992
9.52,9372,11020
9.54,9457,11075
9.56,9549,11157
9.58,9534,11050
9.6,9450,11036
9.62,9340,11008
9.64,9493,11126
9.66,9483,11170
9.68,9514,11071
9.7,9319,10985
9.72,9422,11102
9.74,9507,11145
9.76,9526,11245
9.78,9590,11098
9.8,9472,10971
9.82,9243,10726
9.84,9329,10945
9.86,9438,11062
9.88,9415,10932
9.9,9172,10514
9.92,9024,10383
9.94,9088,10759
9.96,9534,11032
9.98,9422,10934
10,8946,10116
10.02,8818,9974
10.04,8736,9675
10.06,9782,9779
10.08,9944,9177
10.1,9755,8915
10.12,9756,9051
10.14,9930,9283
10.16,9897,9399
10.18,10007,9470
10.2,10024,10044
10.22,9930,10384
10.24,9315,10399
10.26,9160,10523
10.28,9309,10760
10.3,9324,10854
10.32,9421,10869
10.34,9506,10878
10.36,9336,10802
10.38,9385,10800
10.4,9366,10995
10.42,9483,11035
10.44,9581,11132
10.46,9478,11037
10.48,9470,10903
10.5,9324,10985
10.52,9291,10843
10.54,9398,10913
10.56,9380,10890
10.58,9497,10942
10.6,9286,10829
10.62,9355,10736
10.64,9299,10915
10.66,9433,10997
10.68,9454,11062
10.7,9543,11093
10.72,9480,11075
10.74,9376,11085
10.76,9515,11154
10.78,9631,11234
10.8,9529,11217
10.82,9557,11004
10.84,9483,11195
10.86,9627,11338
10.88,9626,11184
10.9,9551,11043
10.92,9517,11179
10.94,9538,11181
10.96,9594,11023
10.98,9505,11138
11,9522,11130
11.02,9531,11206
11.04,9553,11158
11.06,9539,11044
11.08,9419,11085
11.1,9522,11081
11.12,9500,10926
11.14,9382,11011
11.16,9489,11020
11.18,9469,11051
11.2,9537,11030
11.22,9389,10911
11.24,9503,10996
11.26,9445,10964
11.28,9460,10850
11.3,9403,11003
11.32,9470,10998
11.34,9507,11149
11.36,9527,11030
11.38,9494,11089
11.4,9391,10999
11.42,9499,11107
11.44,9502,11096
11.46,9539,11124
11.48,9393,11010
11.5,9488,11135
11.52,9506,11134
11.54,9676,11239
11.56,9528,11108
11.58,9498,11047
11.6,9431,11064
11.62,9509,11125
11.64,9504,11152
11.66,9492,11089
11.68,9396,11051
11.7,9511,11160
11.72,9554,11228
11.74,9652,11045
11.76,9551,11153
11.78,9614,11226
11.8,9543,11083
11.82,9563,11204
11.84,9536,11186
11.86,9540,11222
11.88,9424,11096
11.9,9504,11157
11.92,9523,11197
11.94,9664,11224
11.96,9421,11141
11.98,9507,11199
12,9385,11082
12.02,9458,11077
12.04,9459,11197
12.06,9543,10954
12.08,9344,11056
12.1,9474,11081
12.12,9459,11166
12.14,9541,11132
12.16,9434,11115
12.18,9448,11017
12.2,9305,10858
12.22,9359,10942
12.24,9403,10986
12.26,9541,11150
12.28,9435,11025
12.3,9424,10862
12.32,9299,10927
12.34,9461,11113
12.36,9494,10977
12.38,9416,11007
12.4,9511,11128
12.42,9470,11043
12.44,9455,11057
12.46,9444,11060
12.48,9351,11064
12.5,9443,11077
12.52,9486,11159
12.54,9525,11067
12.56,9455,11096
12.58,9345,11001
12.6,9456,11081
12.62,9488,11071
12.64,9605,11203
12.66,9454,11178
12.68,9517,10986
12.7,9446,11099
12.72,9480,11120
12.74,9556,11137
12.76,9479,11130
12.78,9382,11076
12.8,9482,11121
12.82,9474,11160
12.84,9579,11185
12.86,9481,11145
12.88,9403,11104
12.9,9490,11125
12.92,9597,11207
12.94,9441,11118
12.96,9483,10953
12.98,9395,11096
13,9474,11140
13.02,9591,11256
13.04,9460,11157
13.06,9500,11032
13.08,9380,11093
13.1,9462,11136
13.12,9546,11272
13.14,9501,11044
13.16,9476,11221
13.18,9502,11210
13.2,9355,11059
13.22,9489,11149
13.24,9493,11174
13.26,9603,11251
13.28,9482,11131
13.3,9489,11056
13.32,9486,11126
13.34,9477,11147
13.36,9605,11249
13.38,9472,11109
13.4,9490,10962
13.42,9379,11064
13.44,9466,11116
13.46,9494,11265
13.48,9552,11158
13.5,9489,11147
13.52,9479,11147
13.54,9505,11332
13.56,9615,11159
13.58,9496,11200
13.6,9372,11113
13.62,9488,11206
13.64,9504,11190
13.66,9593,11335
13.68,9501,11186
13.7,9365,11048
13.72,9489,11156
13.74,9489,11167
13.76,9504,11146
13.78,9424,11090
13.8,9442,11133
13.82,9507,11162
13.84,9550,11335
13.86,9579,11008
13.88,9408,11150
13.9,9487,11155
13.92,9495,11194
13.94,9500,11084
13.96,9421,11123
13.98,9481,11146
14,9542,11171
14.02,9448,10993
14.04,9389,11139
14.06,9482,11143
14.08,9476,11270
14.1,9614,11196
14.12,9479,11171
14.14,9310,11142
14.16,9472,11135
14.18,9591,11210
14.2,9454,11125
14.22,9335,11055
14.24,9451,11170
14.26,9485,11211
14.28,9518,11210
14.3,9461,11030
14.32,9405,11151
14.34,9482,11183
14.36,9484,11235
14.38,9443,11179
14.4,9343,11081
14.42,9470,11147
14.44,9481,11172
14.46,9470,11213
14.48,9571,11322
14.5,9524,11193
14.52,9529,11173
14.54,9378,11134
14.56,9491,11262
14.58,9465,11227
14.6,9482,11068
14.62,9353,11111
14.64,9454,11170
14.66,9459,11165
14.68,9468,11152
14.7,9362,11019
14.72,9454,11100
14.74,9449,11108
14.76,9563,11077
14.78,9429,11146
14.8,9593,11257
14.82,9444,11161
14.84,9472,11033
14.86,9341,11120
14.88,9550,11169
14.9,9377,11003
14.92,9392,11036
14.94,9415,11166
14.96,9402,11048
14.98,9406,11084
15,9461,10949
15.02,9321,10983
15.04,9434,11045
15.06,9429,11033
15.08,9531,11129
15.1,9407,10962
15.12,9275,10885
15.14,9356,11007
15.16,9415,11038
15.18,9495,11119
15.2,9465,10989
15.22,9393,10986
15.24,9385,11031
15.26,9565,11191
15.28,9441,11124
15.3,9442,10929
15.32,9342,11077
15.34,9428,11150
15.36,9461,11163
15.38,9571,11269
15.4,9457,11161
15.42,9299,11037
15.44,9435,11128
15.46,9450,11095
15.48,9537,11148
15.5,9457,11107
15.52,9323,11141
15.54,9442,11092
15.56,9502,11146
15.58,9396,10905
15.6,9411,11064
15.62,9419,11076
15.64,9582,11208
15.66,9472,11107
15.68,9444,11054
15.7,9450,11195
15.72,9522,11104
15.74,9409,10995
15.76,9417,11069
15.78,9445,11113
15.8,9529,11174
15.82,9470,11069
15.84,9375,10998
15.86,9377,11105
15.88,9434,11121
15.9,9453,11175
15.92,9460,10933
15.94,9353,11072
15.96,9444,11106
15.98,9450,11210
16,9481,11064
16.02,9455,11131
16.04,9460,11345
16.06,9556,11007
16.08,9383,11183
16.1,9504,11338
16.12,9566,11174
16.14,9520,11171
16.16,9393,11074
16.18,9447,11140
16.2,9440,11157
16.22,9465,11168
16.24,9360,11074
16.26,9477,11134
16.28,9456,11121
16.3,9569,11209
16.32,9485,11131
16.34,9472,11045
16.36,9395,11049
16.38,9428,11065
16.4,9445,11095
16.42,9441,11103
16.44,9340,11125
16.46,9591,11249
16.48,9480,11143
16.5,9463,11104
16.52,9458,11170
16.54,9556,11186
16.56,9481,11365
16.58,9557,11198
16.6,9469,11190
16.62,9353,11051
16.64,9443,11168
16.66,9513,11171
16.68,9546,11270
16.7,9499,11180
16.72,9436,11041
16.74,9416,11156
16.76,9490,11196
16.78,9478,11186
16.8,9502,11213
16.82,9619,11112
16.84,9492,11234
16.86,9370,11128
16.88,9461,11234
16.9,9481,11244
16.92,9597,11355
16.94,9565,11262
16.96,9500,11233
16.98,9595,11337
17,9539,11310
17.02,9541,11199
17.04,9393,11183
17.06,9592,11209
17.08,9495,11239
17.1,9384,11138
17.12,9483,11219
17.14,9487,11244
17.16,9589,11355
17.18,9536,11247
17.2,9540,11145
17.22,9438,11289
17.24,9517,11289
17.26,9529,11328
17.28,9583,11301
17.3,9512,11161
17.32,9412,11034
17.34,9440,11186
17.36,9484,11172
17.38,9484,11050
17.4,9356,11124
17.42,9465,11193
17.44,9486,11209
17.46,9534,11065
17.48,9435,11169
17.5,9479,11157
17.52,9600,11271
17.54,9487,11162
17.56,9459,11154
17.58,9603,11259
17.6,9528,11171
17.62,9476,11153
17.64,9371,11071
17.66,9455,11183
17.68,9541,11223
17.7,9473,11171
17.72,9371,11096
17.74,9470,11202
17.76,9498,11191
17.78,9607,11304
17.8,9496,11279
17.82,9540,11249
17.84,9524,11317
17.86,9657,11415
17.88,9518,11273
17.9,9539,11158
17.92,9445,11239
17.94,9520,11294
17.96,9547,11485
17.98,9539,11226
18,9421,11417
18.02,9595,11218
18.04,9508,11187
18.06,9378,11094
18.08,9477,11189
18.1,9480,11241
18.12,9494,11186
18.14,9344,11083
18.16,9457,11186
18.18,9473,11169
18.2,9592,11299
18.22,9518,11209
18.24,9423,11079
18.26,9419,11171
18.28,9492,11180
18.3,9486,11306
18.32,9551,11257
18.34,9477,11226
18.36,9499,11277
18.38,9633,11229
18.4,9392,11149
18.42,9433,11189
18.44,9491,11229
18.46,9549,11336
18.48,9553,11024
18.5,9388,11168
18.52,9489,11195
18.54,9578,11280
18.56,9543,11231
18.58,9460,11165
18.6,9339,11088
18.62,9477,11173
18.64,9473,11213
18.66,9572,11283
18.68,9483,11080
18.7,9482,11199
18.72,9477,11216
18.74,9602,11280
18.76,9458,11216
18.78,9499,11107
18.8,9368,11194
18.82,9513,11313
18.84,9554,11161
18.86,9498,11195
18.88,9363,11126
18.9,9440,11182
18.92,9565,11248
18.94,9474,11167
18.96,9322,11097
18.98,9474,11165
19,9482,11152
19.02,9583,11236
19.04,9438,11090
19.06,9473,11027
19.08,9339,11112
19.1,9482,11172
19.12,9519,11228
19.14,9516,11229
19.16,9641,11352
19.18,9557,11299
19.2,9472,11207
19.22,9504,11278
19.24,9552,11267
19.26,9524,11405
19.28,9510,11282
19.3,9515,11156
19.32,9476,11221
19.34,9508,11141
19.36,9503,11226
19.38,9504,11211
19.4,9647,11288
19.42,9510,11190
19.44,9359,11079
19.46,9421,11220
19.48,9493,11220
19.5,9571,11331
19.52,9576,11209
19.54,9460,11196
19.56,9373,11073
19.58,9470,11246
19.6,9557,11242
19.62,9516,11193
19.64,9385,11124
19.66,9483,11207
19.68,9483,11226
19.7,9587,11309
19.72,9474,11249
19.74,9501,11076
19.76,9402,11234
19.78,9512,11372
19.8,9575,11263
19.82,9555,11233
19.84,9413,11155
19.86,9496,11221
19.88,9488,11327
19.9,9628,11332
19.92,9522,11237
19.94,9425,11136
19.96,9426,11198
19.98,9485,11234
20,9643,11365
20.02,9529,11283
20.04,9543,11207
20.06,9465,11220
20.08,9518,11245
20.1,9490,11285
20.12,9500,11236
20.14,9404,11243
20.16,9543,11277
20.18,9522,11452
20.2,9640,11182
20.22,9387,11231
20.24,9512,11257
20.26,9512,11371
20.28,9625,11308
20.3,9531,11248
20.32,9377,11185
20.34,9480,11244
20.36,9641,11325
20.38,9533,11231
20.4,9467,11147
20.42,9465,11232
20.44,9483,11224
20.46,9585,11308
20.48,9535,11185
20.5,9473,11196
20.52,9373,11115
20.54,9486,11212
20.56,9570,11247
20.58,9511,11247
20.6,9376,11141
20.62,9487,11255
20.64,9502,11244
20.66,9376,11134
20.68,9482,11236
20.7,9517,11236
20.72,9608,11318
20.74,9494,11213
20.76,9523,11142
20.78,9416,11164
20.8,9484,11204
20.82,9508,11317
20.84,9625,11233
20.86,9371,11153
20.88,9480,11323
20.9,9584,11174
20.92,9505,11196
20.94,9373,11118
20.96,9478,11197
20.98,9508,11221
21,9644,11319
21.02,9492,11228
21.04,9506,11166
21.06,9485,11207
21.08,9513,11305
21.1,9588,11231
21.12,9509,11224
21.14,9340,11128
21.16,9482,11213
21.18,9509,11321
21.2,9535,11223
21.22,9341,11234
21.24,9511,11270
21.26,9611,11343
21.28,9541,11285
21.3,9335,11153
21.32,9495,11276
21.34,9523,11280
21.36,9622,11348
21.38,9594,11336
21.4,9547,11248
21.42,9415,11189
21.44,9518,11271
21.46,9690,11391
21.48,9581,11279
21.5,9498,11294
21.52,9397,11143
21.54,9495,11243
21.56,9630,11264
21.58,9516,11253
21.6,9403,11174
21.62,9496,11175
21.64,9489,11304
21.66,9558,11190
21.68,9507,11185
21.7,9394,11125
21.72,9475,11197
21.74,9497,11213
21.76,9479,11142
21.78,9326,11046
21.8,9458,11206
21.82,9492,11217
21.84,9615,11286
21.86,9525,11188
21.88,9468,11082
21.9,9411,11190
21.92,9488,11200
21.94,9495,11332
21.96,9494,11143
21.98,9378,11100
22,9337,10916
22.02,9449,11035
22.04,9412,10951
22.06,9277,10803
22.08,9161,10652
22.1,9202,10682
22.12,9199,10694
22.14,9302,10818
22.16,9194,10686
22.18,9277,10951
22.2,9391,10909
22.22,9364,10997
22.24,9295,10915
22.26,9414,11091
22.28,9327,11162
22.3,9614,11289
22.32,9472,11189
22.34,9494,11047
22.36,9377,11149
22.38,9482,11329
22.4,9468,11201
22.42,9499,11006
22.44,9346,11103
22.46,9488,11198
22.48,9483,11261
22.5,9572,11222
22.52,9455,11121
22.54,9357,11065
22.56,9476,11206
22.58,9617,11056
22.6,9378,11156
22.62,9482,11166
22.64,9450,11167
22.66,9470,11035
22.68,9389,11051
22.7,9496,11179
22.72,9509,11324
22.74,9563,11184
22.76,9492,11212
22.78,9388,11307
22.8,9508,11217
22.82,9479,11102
22.84,9412,11162
22.86,9497,11206
22.88,9501,11271
22.9,9600,11274
22.92,9490,11136
22.94,9397,11152
22.96,9484,11219
22.98,9518,11281
23,9622,11298
23.02,9524,11233
23.04,9417,11064
23.06,9434,11172
23.08,9484,11201
23.1,9530,11323
23.12,9505,11256
23.14,9533,11204
23.16,9393,11155
23.18,9497,11234
23.2,9484,11207
23.22,9633,11312
23.24,9343,11092
23.26,9467,11211
23.28,9485,11264
23.3,9639,11392
23.32,9384,11138
23.34,9465,11231
23.36,9492,11248
23.38,9610,11340
23.4,9547,11253
23.42,9508,11073
23.44,9423,11173
23.46,9511,11205
23.48,9593,11326
23.5,9538,11205
23.52,9483,11407
23.54,9572,11213
23.56,9549,11267
23.58,9383,11177
23.6,9486,11269
23.62,9507,11275
23.64,9611,11337
23.66,9545,11204
23.68,9505,11297
23.7,9515,11314
23.72,9640,11407
23.74,9551,11287
23.76,9532,11175
23.78,9414,11210
23.8,9484,11284
23.82,9499,11310
23.84,9576,11353
23.86,9549,11190
23.88,9492,11248
23.9,9477,11255
23.92,9612,11355
23.94,9465,11245
23.96,9518,11081
23.98,9393,11202
24,9392,11259
24.02,9509,11262
24.04,9533,11408
24.06,9574,11228
24.08,9522,11290
24.1,9406,11170
24.12,9490,11246
24.14,9504,11268
24.16,9631,11403
24.18,9525,11299
24.2,9525,11169
24.22,9434,11245
24.24,9496,11254
24.26,9484,11328
24.28,9602,11311
24.3,9513,11151
24.32,9489,11232
24.34,9499,11261
24.36,9601,11340
24.38,9475,11278
24.4,9484,11113
24.42,9430,11210
24.44,9501,11277
24.46,9501,11249
24.48,9453,11269
24.5,9406,11139
24.52,9491,11276
24.54,9497,11260
24.56,9590,11239
24.58,9402,11163
24.6,9480,11253
24.62,9472,11244
24.64,9651,11407
24.66,9545,11219
24.68,9486,11269
24.7,9421,11153
24.72,9481,11247
24.74,9499,11233
24.76,9591,11239
24.78,9366,11109
24.8,9468,11227
24.82,9501,11246
24.84,9537,11339
24.86,9573,11101
24.88,9396,11242
24.9,9515,11274
24.92,9486,11326
24.94,9473,11243
24.96,9506,11180
24.98,9506,11302
25,9506,11343
25.02,9599,11366
25.04,9539,11302
25.06,9436,11264
25.08,9517,11230
25.1,9435,11288
25.12,9528,11311
25.14,9540,11385
25.16,9494,11325
25.18,9396,11253
25.2,9501,11289
25.22,9516,11297
25.24,9581,11323
25.26,9424,11122
25.28,9479,11271
25.3,9516,11342
25.32,9588,11320
25.34,9493,11221
25.36,9487,11267
25.38,9496,11308
25.4,9502,11120
25.42,9458,11269
25.44,9639,11421
25.46,9535,11302
25.48,9521,11234
25.5,9422,11235
25.52,9530,11322
25.54,9524,11365
25.56,9543,11332
25.58,9451,11327
25.6,9662,11456
25.62,9548,11310
25.64,9455,11244
25.66,9444,11287
25.68,9543,11328
25.7,9433,11238
25.72,9512,11332
25.74,9641,11422
25.76,9439,11348
25.78,9533,11414
25.8,9620,11365
25.82,9554,11346
25.84,9414,11230
25.86,9490,11316
25.88,9528,11336
25.9,9616,11507
25.92,9460,11188
25.94,9466,11336
25.96,9676,11453
25.98,9512,11346
26,9530,11345
26.02,9420,11269
26.04,9536,11308
26.06,9526,11523
26.08,9632,11299
26.1,9534,11363
26.12,9402,11221
26.14,9508,11327
26.16,9538,11341
26.18,9651,11467
26.2,9577,11390
26.22,9572,11373
26.24,9602,11528
26.26,9525,11224
26.28,9481,11313
26.3,9548,11350
26.32,9529,11466
26.34,9578,11339
26.36,9453,11270
26.38,9520,11342
26.4,9570,11378
26.42,9681,11405
26.44,9711,11554
26.46,9562,11450
26.48,9571,11374
26.5,9585,11454
26.52,9583,11610
26.54,9681,11425
26.56,9517,11426
26.58,9603,11485
26.6,9721,11571
26.62,9657,11513
26.64,9633,11347
26.66,9539,11478
26.68,9584,11491
26.7,9619,11623
26.72,9721,11584
26.74,9529,11503
26.76,9623,11521
26.78,9635,11656
26.8,9717,11558
26.82,9606,11480
26.84,9512,11458
26.86,9595,11491
26.88,9626,11615
26.9,9718,11506
26.92,9571,11514
26.94,9478,11363
26.96,9574,11481
26.98,9603,11470
27,9699,11604
27.02,9645,11466
27.04,9601,11420
27.06,9593,11427
27.08,9706,11509
27.1,9552,11382
27.12,9579,11384
27.14,9575,11360
27.16,9578,11498
27.18,9670,11442
27.2,9546,11385
27.22,9448,11281
27.24,9533,11366
27.26,9676,11478
27.28,9610,11409
27.3,9579,11308
27.32,9496,11385
27.34,9571,11409
27.36,9536,11562
