X,Y,Z,R,IR,HR,RR,SPO2,Activity,HR Mean,RR Mean,SPO2 Mean
0.06,-0.19,1.08,9796,11691,62.5,16.39344262,99.93742157,2,,,
0.06,-0.19,1.02,9608,11680,76.92307692,17.64705882,86.25417921,2,,,
0.04,-0.19,1.05,9764,11733,69.76744186,15.46391753,93.05783707,2,,,
0.08,-0.19,1.06,9924,11859,78.94736842,18.63354037,97.12768397,2,,,
0.09,-0.21,1.11,9849,11853,90.90909091,20.97902098,99.36600579,2,,,
0.1,-0.21,1.14,9769,11770,54.54545455,19.35483871,98.70913155,2,,,
0.06,-0.21,1.06,9820,11825,76.92307692,15.70680628,96.82393224,2,,,
0.09,-0.19,1.08,9859,11821,103.4482759,17.96407186,96.70348382,2,,,
0.09,-0.21,1.08,9924,11925,142.8571429,17.85714286,99.75468184,2,,,
0.08,-0.19,1.02,9900,11875,90.90909091,17.96407186,89.50366389,2,,,
0.05,-0.19,1.04,9842,11832,125,19.48051948,99.26829051,2,,,
0.06,-0.19,1.06,9707,11790,58.82352941,20,99.84849972,2,,,
0.09,-0.19,1.04,9834,11888,68.18181818,19.73684211,96.7684388,2,,,
0.08,-0.19,1.05,9860,11844,81.08108108,12.87553648,90.31404664,2,,,
0.09,-0.19,1.05,9982,11932,61.2244898,22.90076336,99.42523005,2,,,
0.08,-0.17,1.02,9864,11872,93.75,23.62204724,98.41980209,2,,,
0.05,-0.19,1.02,9761,11821,51.72413793,20.68965517,99.28214891,2,,,
0.09,-0.19,1.04,9886,11907,73.17073171,18.86792453,97.84887763,2,,,
0.04,-0.21,1.06,9889,11953,47.61904762,14.63414634,93.03280054,2,,,
0.03,-0.2,1.05,10006,12017,81.08108108,13.51351351,86.45644885,2,,,
0.03,-0.2,1.06,9920,11960,96.77419355,22.55639098,95.78795947,2,,,
0.05,-0.2,1.06,9819,11884,100,22.72727273,90.07179283,2,,,
0.05,-0.2,1.02,9869,11936,68.18181818,21.73913043,97.00567154,2,,,
