9776,11868
9942,11869
9876,11911
9754,11791
9861,11997
9958,12000
9923,11952
9910,11988
9943,12025
10065,12139
9898,12021
9972,11910
9956,12048
9997,12027
9944,11917
9840,11951
9930,11969
9896,12035
9955,12023
9833,11937
9938,12015
9945,11999
10015,12055
9888,11974
9937,11849
9817,11965
9959,12099
9975,11968
9898,11948
9769,11836
9854,12067
10032,11992
9949,12048
9813,11947
9953,12023
9942,11954
9956,11996
9921,11855
9845,11899
9719,11813
9843,11847
9822,11734
9921,11649
9572,11516
9682,11565
9681,11675
9669,11586
9702,11428
9580,11471
9672,11542
9705,11694
9899,11950
9907,11944
9838,11838
9810,11666
9857,11617
9697,11510
9558,11371
9620,11500
9686,11554
9699,11572
9703,11482
9644,11563
9743,11642
9747,11762
9879,11785
9855,11821
9726,11869
9852,11952
9919,11930
9897,11938
9924,11724
9802,11602
9748,11635
9741,11702
9847,11701
9796,11691
9608,11680
9764,11733
9924,11859
9849,11853
9769,11770
9820,11825
9859,11821
9924,11925
9900,11875
9842,11832
9707,11790
9834,11888
9860,11844
9982,11932
9864,11872
9761,11821
9886,11907
9889,11953
10006,12017
9920,11960
9819,11884
9869,11936
9992,11951
10150,11866
10169,12216
10003,12120
9880,11988
10021,12097
10111,12186
9969,12118
10028,11901
9901,12063
10005,12132
10012,12146
10136,12112
9909,11998
10017,12121
10026,12125
10185,12244
10046,12168
10040,12005
9946,12104
10154,12205
10089,12148
10009,12180
9940,12077
10035,12152
10122,12122
10049,12158
9864,12021
9984,12103
10010,12103
10194,12207
10062,12164
9973,12123
9889,12044
10039,12142
10126,12134
10060,12141
9901,12027
9995,12081
10026,12096
10022,12070
9899,11965
9961,12092
10034,12092
10160,12182
10048,12119
9964,11970
9964,12065
10040,12068
10031,12191
9998,12018
9922,12063
10004,12101
10030,12067
10125,12151
10012,12055
9955,11887
9893,12043
9993,12133
9994,12083
9991,11930
9889,11994
9978,12032
9983,12018
10088,12095
9854,11930
9959,12049
9993,12062
10159,12187
10011,12096
10028,12032
9931,12037
10001,12087
10012,12059
10020,12074
9858,11944
9978,12055
9996,12040
10121,12048
9875,12028
9995,12043
9992,12082
10094,12092
9995,12039
9806,11920
9928,12008
9964,11989
9961,12053
10057,11831
9834,11917
9942,11962
9947,11966
10080,12081
9978,11938
9976,12035
9984,12017
10124,12111
10020,12042
9918,11921
9882,11992
9982,12014
9879,11956
9957,11976
9951,12102
9964,11875
9858,11873
9944,11953
9917,12005
10000,12025
9818,11868
9935,11933
9937,11948
10081,12069
9944,11970
9930,11973
9966,11997
10010,12097
10024,12006
9957,12018
9843,11926
9964,12012
9968,11989
10040,12068
9935,12011
9959,11841
9897,11949
9977,11971
9952,12013
10069,12029
9978,11993
9914,11829
9880,11943
9960,11989
9964,12123
10053,11965
10004,11984
9838,11853
9949,11959
9951,11962
9980,11953
9929,11919
9944,11905
10016,12044
9763,11757
9865,11851
9899,11851
9886,11990
9970,11812
9871,11880
9827,11816
9881,11871
9912,11867
10016,11959
9766,11715
9823,11828
9883,11851
9939,11980
9977,11837
9816,11830
9914,11846
9901,11934
10003,11942
9937,11836
9744,11667
9833,11765
9835,11752
9850,11892
9927,11818
9778,11791
9919,11890
9940,11924
10087,12038
10002,11986
9986,11901
9976,11957
9998,12097
10055,11915
9990,11941
9944,11918
9931,12000
10041,12010
9949,11925
9854,11824
9952,11942
10063,12036
9967,11947
9978,11843
9885,11923
9971,11972
9983,11965
10052,12039
9984,11960
9859,11824
9951,11944
10072,12064
9941,11912
9971,11805
9869,11902
