0.00,-0.17,1.09
-0.03,-0.17,1.10
-0.01,-0.16,1.06
0.01,-0.15,1.09
0.01,-0.16,1.08
-0.01,-0.15,1.05
0.01,-0.15,1.08
0.01,-0.15,1.04
0.01,-0.15,1.06
0.04,-0.14,1.04
0.04,-0.16,1.08
0.04,-0.14,1.09
0.03,-0.16,1.05
0.01,-0.16,1.05
0.00,-0.15,1.04
0.03,-0.16,1.05
-0.01,-0.16,1.04
-0.01,-0.15,1.06
-0.01,-0.17,1.08
0.00,-0.16,1.05
0.00,-0.14,1.02
-0.01,-0.15,1.01
0.01,-0.14,1.06
0.00,-0.15,1.08
0.01,-0.17,1.05
-0.01,-0.15,1.04
0.00,-0.16,1.06
0.00,-0.15,1.04
0.03,-0.15,1.05
0.00,-0.15,1.02
0.01,-0.15,1.06
-0.01,-0.14,1.05
-0.04,-0.14,1.04
-0.01,-0.14,1.04
0.00,-0.13,1.05
0.00,-0.14,1.06
0.00,-0.17,1.08
-0.01,-0.17,1.09
0.01,-0.15,1.09
0.04,-0.15,1.11
0.00,-0.15,1.01
0.03,-0.16,1.08
0.00,-0.15,1.05
0.03,-0.16,1.05
0.03,-0.13,1.08
0.03,-0.17,1.05
0.00,-0.17,1.08
0.01,-0.15,1.06
-0.03,-0.15,1.09
0.00,-0.16,1.04
0.00,-0.15,1.09
0.01,-0.14,1.08
0.04,-0.15,1.05
0.04,-0.13,1.01
0.04,-0.16,1.06
0.00,-0.17,1.06
-0.01,-0.17,1.10
0.00,-0.14,1.09
0.04,-0.16,1.08
-0.03,-0.15,1.05
-0.01,-0.13,1.01
0.00,-0.15,1.06
0.00,-0.17,1.05
0.01,-0.15,1.08
0.00,-0.17,1.02
0.00,-0.13,1.02
0.01,-0.14,1.08
0.04,-0.14,1.09
0.04,-0.15,1.05
0.01,-0.14,1.02
0.05,-0.15,1.04
0.04,-0.11,1.05
-0.03,-0.14,1.02
-0.01,-0.16,1.08
0.03,-0.15,1.06
0.01,-0.16,1.06
0.01,-0.17,1.09
0.01,-0.14,1.05
-0.01,-0.14,1.04
0.01,-0.17,1.10
0.01,-0.16,1.04
0.01,-0.16,1.05
0.03,-0.15,1.09
0.04,-0.17,1.05
0.01,-0.15,1.04
0.03,-0.17,1.05
0.05,-0.15,1.06
0.03,-0.15,1.05
-0.01,-0.14,1.10
-0.01,-0.13,1.05
-0.01,-0.14,1.00
0.01,-0.16,0.98
0.01,-0.17,1.04
0.00,-0.15,1.05
0.00,-0.17,1.01
-0.01,-0.16,1.05
0.01,-0.15,1.02
0.04,-0.16,1.02
0.03,-0.17,1.06
0.00,-0.17,1.09
0.00,-0.14,1.06
0.01,-0.13,1.08
0.01,-0.16,1.04
0.03,-0.14,1.02
0.01,-0.13,1.06
0.01,-0.10,1.05
0.00,-0.14,1.08
0.00,-0.15,1.01
-0.01,-0.14,1.04
-0.01,-0.14,1.08
-0.01,-0.15,1.02
0.00,-0.16,1.05
-0.03,-0.15,1.11
0.00,-0.15,1.08
0.00,-0.15,1.11
0.04,-0.16,1.08
0.01,-0.16,1.08
0.01,-0.14,1.08
0.00,-0.13,1.09
-0.05,-0.15,1.09
-0.01,-0.19,1.01
0.01,-0.15,0.99
0.01,-0.13,1.06
0.03,-0.13,1.01
0.03,-0.14,1.09
0.01,-0.16,1.08
0.03,-0.15,1.05
0.01,-0.15,1.01
0.01,-0.15,1.08
0.04,-0.16,1.06
0.01,-0.16,1.08
0.00,-0.17,1.02
0.00,-0.17,1.01
0.00,-0.14,1.06
-0.01,-0.15,1.10
0.03,-0.17,1.08
0.05,-0.15,1.05
0.01,-0.15,1.06
-0.01,-0.16,1.05
0.01,-0.16,1.04
0.01,-0.14,1.02
0.00,-0.15,1.08
-0.04,-0.15,1.06
0.01,-0.17,1.06
0.05,-0.15,1.04
0.01,-0.14,1.06
0.00,-0.15,1.04
0.01,-0.16,1.06
0.00,-0.16,1.01
0.03,-0.16,1.04
0.01,-0.16,1.06
0.08,-0.16,1.05
0.05,-0.17,1.08
0.04,-0.16,1.06
0.01,-0.16,1.09
0.00,-0.14,1.06
0.01,-0.14,1.06
0.01,-0.16,1.04
0.00,-0.16,1.09
-0.03,-0.15,1.09
-0.04,-0.16,1.08
0.01,-0.15,1.09
0.00,-0.17,1.10
-0.03,-0.19,1.05
-0.03,-0.14,1.09
-0.06,-0.15,1.08
-0.03,-0.16,1.02
-0.01,-0.16,1.05
0.03,-0.16,1.05
0.01,-0.16,1.04
0.01,-0.16,1.06
0.01,-0.15,1.09
0.04,-0.14,1.04
0.01,-0.15,1.06
0.01,-0.14,1.06
0.00,-0.17,1.09
0.05,-0.17,1.06
0.01,-0.15,1.09
0.01,-0.16,1.08
0.01,-0.15,1.08
-0.01,-0.16,1.08
0.01,-0.15,1.09
0.03,-0.17,1.06
0.01,-0.15,1.10
-0.01,-0.15,1.08
0.00,-0.17,1.05
0.00,-0.16,1.01
0.01,-0.16,1.02
0.01,-0.17,1.04
0.00,-0.16,1.08
-0.01,-0.17,1.05
0.00,-0.16,1.04
0.04,-0.14,1.04
0.03,-0.16,1.04
0.01,-0.15,1.09
-0.04,-0.17,1.09
-0.04,-0.16,1.05
-0.03,-0.15,1.12
-0.03,-0.15,1.04
0.00,-0.16,1.04
0.01,-0.16,1.08
-0.01,-0.15,1.00
-0.01,-0.17,1.00
0.01,-0.17,1.04
0.01,-0.16,1.02
0.03,-0.16,1.02
0.00,-0.15,1.01
-0.01,-0.19,1.05
-0.03,-0.17,1.06
0.01,-0.17,0.99
0.03,-0.16,1.04
0.00,-0.16,0.98
-0.01,-0.14,1.04
-0.01,-0.17,1.05
0.00,-0.17,1.05
0.00,-0.14,1.04
-0.01,-0.14,1.06
0.00,-0.15,1.09
0.01,-0.15,1.06
0.00,-0.15,1.02
-0.03,-0.15,1.02
-0.03,-0.16,1.08
-0.03,-0.15,1.06
0.01,-0.16,1.08
0.01,-0.16,1.06
0.01,-0.17,1.08
-0.01,-0.15,1.01
0.00,-0.15,1.02
0.00,-0.16,1.06
0.01,-0.17,1.09
0.01,-0.17,1.05
0.01,-0.14,1.08
0.00,-0.16,1.06
0.00,-0.15,1.08
0.01,-0.16,1.09
0.00,-0.15,1.04
0.03,-0.17,1.06
0.01,-0.14,1.02
0.03,-0.16,1.05
0.03,-0.17,1.08
0.00,-0.15,1.06
0.00,-0.16,1.08
0.04,-0.16,1.02
0.01,-0.14,1.06
0.01,-0.15,1.08
0.03,-0.19,1.05
0.00,-0.19,1.04
0.03,-0.15,1.05
0.03,-0.16,1.06
0.01,-0.19,1.06
0.00,-0.16,1.09
-0.03,-0.16,1.08
-0.03,-0.17,1.08
-0.01,-0.16,1.06
0.00,-0.16,1.05
0.01,-0.14,1.08
0.01,-0.16,1.05
0.03,-0.14,1.02
-0.03,-0.14,1.05
0.00,-0.14,1.06
-0.01,-0.15,1.10
0.00,-0.16,1.08
0.01,-0.14,1.05
0.01,-0.16,1.06
0.00,-0.14,1.08
-0.01,-0.14,1.09
0.03,-0.13,1.08
0.03,-0.16,1.11
0.03,-0.17,1.11
0.00,-0.15,1.09
0.03,-0.15,1.08
0.03,-0.15,1.08
0.01,-0.15,1.04
0.00,-0.16,1.06
-0.01,-0.14,1.06
