X,Y,Z,R,IR,HR,RR,SPO2,Activity,HR Mean,RR Mean,SPO2 Mean
0.01,-0.17,1.09,9491,10170,52.63157895,20,97.39297782,1,,,
0.01,-0.14,1.05,9465,10111,55.55555556,17.44186047,98.91069117,1,,,
-0.01,-0.14,1.04,9379,10089,63.82978723,23.80952381,94.6525589,1,,,
0.01,-0.17,1.1,9435,10148,51.72413793,21.42857143,97.42698874,1,,,
0.01,-0.16,1.04,9464,10124,61.2244898,22.05882353,99.94055961,1,,,
0.01,-0.16,1.05,9483,10141,47.61904762,17.85714286,98.76125625,1,,,
0.03,-0.15,1.09,9334,10046,48.38709677,19.73684211,98.80458654,1,,,
0.04,-0.17,1.05,9445,10118,56.60377358,18.98734177,97.36016046,1,,,
0.01,-0.15,1.04,9447,10124,130.4347826,15.2284264,99.9240393,1,,,
0.03,-0.17,1.05,9582,10217,73.17073171,12,92.37828683,1,,,
0.05,-0.15,1.06,9502,10132,62.5,16.94915254,99.73980008,1,,,
0.03,-0.15,1.05,9453,10113,51.72413793,22.3880597,89.15327055,1,,,
-0.01,-0.14,1.1,9436,10136,62.5,17.54385965,88.58949822,1,,,
-0.01,-0.13,1.05,9586,10209,53.57142857,16.75977654,93.90915282,1,,,
-0.01,-0.14,1,9521,10102,58.82352941,16.75977654,98.00397887,1,,,
0.01,-0.16,0.98,9400,10126,47.61904762,20.27027027,99.94195839,1,,,
0.01,-0.17,1.04,9298,10126,44.11764706,19.35483871,98.38141714,1,,,
0,-0.15,1.05,9437,10235,76.92307692,22.05882353,97.26904205,1,,,
0,-0.17,1.01,9503,10061,46.15384615,23.4375,95.56986848,1,,,
-0.01,-0.16,1.05,9431,10107,58.82352941,17.85714286,98.79760431,1,,,
0.01,-0.15,1.02,9302,9998,52.63157895,14.1509434,97.96631597,1,,,
0.04,-0.16,1.02,9413,10093,68.18181818,11.85770751,99.41134572,1,,,
0.03,-0.17,1.06,9423,10104,46.15384615,16.57458564,97.05822336,1,,,
0,-0.17,1.09,9540,10178,48.38709677,21.27659574,99.14836719,1,,,
0,-0.14,1.06,9318,9900,53.57142857,18.51851852,99.6867312,1,,,
0.01,-0.13,1.08,9185,9741,75,20.54794521,99.62403037,1,,,
0.01,-0.16,1.04,9257,9766,90.90909091,14.63414634,97.95272156,1,,,
0.03,-0.14,1.02,9234,9878,49.18032787,16.66666667,92.10719516,1,,,
0.01,-0.13,1.06,9298,9718,58.82352941,20.13422819,97.31570083,1,,,
0.01,-0.1,1.05,9115,9701,73.17073171,16.30434783,94.65977698,1,,,
0,-0.14,1.08,9188,9740,65.2173913,15.15151515,99.8508863,1,,,
0,-0.15,1.01,9243,9704,81.08108108,20.68965517,99.9526971,1,,,
-0.01,-0.14,1.04,9230,9632,42.85714286,21.42857143,92.39118296,1,,,
-0.01,-0.14,1.08,9036,9455,66.66666667,16.94915254,99.29217473,1,,,
-0.01,-0.15,1.02,9144,9662,130.4347826,,92.17224315,1,,,
0,-0.16,1.05,9454,10108,30.3030303,,84.72971171,1,,,
-0.03,-0.15,1.11,9466,10165,25.86206897,,89.7424413,1,,,
0,-0.15,1.08,9528,10152,24.59016393,,96.54157897,1,,,
0,-0.15,1.11,9464,10186,44.11764706,,81.18604155,1,,,
0.04,-0.16,1.08,9652,10347,56.60377358,,95.10097547,1,,,
0.01,-0.16,1.08,9600,10281,120,,99.89232068,1,,,
0.01,-0.14,1.08,9612,10276,71.42857143,,98.89517173,1,,,
0,-0.13,1.09,9452,10174,68.18181818,,98.28930487,1,,,
-0.05,-0.15,1.09,9550,10264,44.11764706,,97.18468722,1,,,
-0.01,-0.19,1.01,9556,10278,81.08108108,,95.27509549,1,,,
0.01,-0.15,0.99,9667,10382,46.15384615,,96.2308236,1,,,
0.01,-0.13,1.06,9618,10291,42.85714286,,98.70294625,1,,,
0.03,-0.13,1.01,9577,10221,69.76744186,,99.49247817,1,,,
0.03,-0.14,1.09,9524,10349,37.03703704,,94.74546741,1,,,
0.01,-0.16,1.08,9701,10438,66.66666667,,89.30040744,1,,,
0.03,-0.15,1.05,9540,10384,42.25352113,,99.88305198,1,,,
0.01,-0.15,1.01,9568,10167,93.75,,96.78868202,1,,,
0.01,-0.15,1.08,9482,10253,50.84745763,,96.52526222,1,,,
0.04,-0.16,1.06,9529,10310,69.76744186,,96.85794583,1,,,
0.01,-0.16,1.08,9532,10329,69.76744186,,85.2602149,1,,,
0,-0.17,1.02,9656,10350,53.57142857,,81.96211473,1,,,
0,-0.17,1.01,9547,10283,50,,96.30631792,1,,,
0,-0.14,1.06,9450,10186,62.5,,98.86746403,1,,,
-0.01,-0.15,1.1,9466,10249,61.2244898,,99.59923651,1,,,
0.03,-0.17,1.08,9511,10245,58.82352941,,97.75067019,1,,,
0.05,-0.15,1.05,9529,10341,51.72413793,,99.92219676,1,,,
0.01,-0.15,1.06,9593,10263,76.92307692,,98.98308383,1,,,
-0.01,-0.16,1.05,9498,10177,48.38709677,,98.56768609,1,,,
0.01,-0.16,1.04,9482,10226,85.71428571,,97.8657916,1,,,
0.01,-0.14,1.02,9528,10225,58.82352941,,92.22464975,1,,,
0,-0.15,1.08,9483,10236,136.3636364,,91.34184493,1,,,
-0.04,-0.15,1.06,9327,10103,54.54545455,,97.93400432,1,,,
0.01,-0.17,1.06,9424,10207,41.09589041,,93.59762188,1,,,
0.05,-0.15,1.04,9486,10195,27.77777778,,93.53076875,1,,,
0.01,-0.14,1.06,9581,10306,51.72413793,,99.87575485,1,,,
0,-0.15,1.04,9486,10244,63.82978723,,81.35762162,1,,,
0.01,-0.16,1.06,9475,10202,90.90909091,,89.3353746,1,,,
0,-0.16,1.01,9496,10214,176.4705882,,93.84213286,1,,,
0.03,-0.16,1.04,9479,10352,43.47826087,,95.95469058,1,,,
0.01,-0.16,1.06,9573,10293,78.94736842,,97.33226372,1,,,
0.08,-0.16,1.05,9470,10268,55.55555556,,94.03717897,1,,,
0.05,-0.17,1.08,9379,10180,88.23529412,,97.33276206,1,,,
0.04,-0.16,1.06,9480,10254,50,,92.69844134,1,,,
0.01,-0.16,1.09,9463,10224,48.38709677,,99.66930024,1,,,
0,-0.14,1.06,9490,10240,75,,99.87222273,1,,,
0.01,-0.14,1.06,9373,10120,47.61904762,,86.8852586,1,,,
0.01,-0.16,1.04,9395,10177,68.18181818,,96.98433403,1,,,
0,-0.16,1.09,9435,10165,68.18181818,,96.80958279,1,,,
-0.03,-0.15,1.09,9545,10290,52.63157895,,96.22169318,1,,,
-0.04,-0.16,1.08,9390,10028,65.2173913,,98.41253513,1,,,
0.01,-0.15,1.09,9332,10165,48.38709677,,97.32645052,1,,,
0,-0.17,1.1,9397,10155,75,,99.50978587,1,,,
-0.03,-0.19,1.05,9423,10298,42.85714286,,95.99635942,1,,,
-0.03,-0.14,1.09,9508,10166,111.1111111,,93.85106951,1,,,
-0.06,-0.15,1.08,9419,10154,56.60377358,,99.24492919,1,,,
-0.03,-0.16,1.02,9255,10059,76.92307692,,99.1035035,1,,,
-0.01,-0.16,1.05,9374,10143,50.84745763,,97.92640887,1,,,
0.03,-0.16,1.05,9395,10178,71.42857143,,93.79925124,1,,,
0.01,-0.16,1.04,9522,10260,50.84745763,,80.23783678,1,,,
0.01,-0.16,1.06,9255,10039,66.66666667,,84.57434577,1,,,
0.01,-0.15,1.09,9346,10139,120,,97.11174584,1,,,
0.04,-0.14,1.04,9400,10183,90.90909091,,96.43913454,1,,,
0.01,-0.15,1.06,9439,10286,68.18181818,,99.28935602,1,,,
0.01,-0.14,1.06,9478,10194,51.72413793,,97.13339483,1,,,
0,-0.17,1.09,9321,10204,60,,89.89731066,1,,,
0.05,-0.17,1.06,9432,10285,56.60377358,,98.69133741,1,,,
0.01,-0.15,1.09,9439,10302,81.08108108,,99.58917946,1,,,
0.01,-0.16,1.08,9544,10313,46.875,,95.57514891,1,,,
0.01,-0.15,1.08,9401,10232,76.92307692,,97.86209523,1,,,
-0.01,-0.16,1.08,9284,10110,78.94736842,,98.59421035,1,,,
0.01,-0.15,1.09,9399,10264,107.1428571,,95.94063022,1,,,
0.03,-0.17,1.06,9436,10261,62.5,,98.21204866,1,,,
0.01,-0.15,1.1,9510,10226,61.2244898,,92.29369979,1,,,
-0.01,-0.15,1.08,9401,10126,60,,97.56713954,1,,,
0,-0.17,1.05,9343,10204,46.875,,94.00848239,1,,,
0,-0.16,1.01,9425,10245,71.42857143,,99.74543787,1,,,
0.01,-0.16,1.02,9414,10285,46.15384615,,93.19006462,1,,,
0.01,-0.17,1.04,9531,10287,53.57142857,,83.73195028,1,,,
0,-0.16,1.08,9380,10180,62.5,,97.79960393,1,,,
-0.01,-0.17,1.05,9391,10201,55.55555556,,97.79397927,1,,,
0,-0.16,1.04,9385,10181,75,,93.65865629,1,,,
0.04,-0.14,1.04,9520,10266,40,,94.38741601,1,,,
0.03,-0.16,1.04,9400,10178,78.94736842,,99.78924832,1,,,
0.01,-0.15,1.09,9305,10015,81.08108108,,97.07435078,1,,,
-0.04,-0.17,1.09,9308,10125,96.77419355,,99.72723178,1,,,
-0.04,-0.16,1.05,9391,10175,66.66666667,,84.5412658,1,,,
-0.03,-0.15,1.12,9421,10266,46.875,,99.85079369,1,,,
-0.03,-0.15,1.04,9450,10038,63.82978723,,99.95687326,1,,,
0,-0.16,1.04,9308,10146,52.63157895,,98.85514937,1,,,
0.01,-0.16,1.08,9415,10219,56.60377358,,98.79482976,1,,,
-0.01,-0.15,1,9304,10215,62.5,,86.95698502,1,,,
-0.01,-0.17,1,9380,10213,107.1428571,,99.86394324,1,,,
0.01,-0.17,1.04,9367,10229,85.71428571,,81.78494062,1,,,
0.01,-0.16,1.02,9484,10059,75,,99.85033233,1,,,
