time(second),IR,RED
6.4,8529,10602
6.42,8478,10592
6.44,8502,10564
6.46,8523,10572
6.48,8474,10599
6.5,8476,10578
6.52,8507,10595
6.54,8462,10566
6.56,8528,10533
6.58,8437,10564
6.6,8501,10575
6.62,8522,10602
6.64,8443,10589
6.66,8480,10545
6.68,8533,10552
6.7,8483,10640
6.72,8494,10607
6.74,8466,10603
6.76,8477,10574
6.78,8471,10514
6.8,8527,10610
6.82,8477,10586
6.84,8442,10554
6.86,8534,10568
6.88,8489,10593
6.9,8517,10612
6.92,8463,10644
6.94,8482,10588
6.96,8512,10554
6.98,8521,10676
7,8472,10613
7.02,8482,10665
7.04,8543,10649
7.06,8441,10611
7.08,8500,10579
7.1,8521,10590
7.12,8420,10568
7.14,8519,10555
7.16,8443,10552
7.18,8467,10589
7.2,8444,10571
7.22,8462,10563
7.24,8463,10555
7.26,8519,10636
7.28,8457,10545
7.3,8525,10627
7.32,8443,10569
7.34,8503,10617
7.36,8465,10626
7.38,8415,10568
7.4,8496,10600
7.42,8449,10575
7.44,8460,10499
7.46,8421,10560
7.48,8426,10613
7.5,8474,10557
7.52,8472,10586
7.54,8465,10548
7.56,8470,10582
7.58,8426,10555
7.6,8491,10596
7.62,8451,10519
7.64,8486,10583
7.66,8458,10611
7.68,8423,10528
7.7,8462,10552
7.72,8441,10576
7.74,8442,10525
7.76,8414,10559
7.78,8427,10534
7.8,8401,10524
7.82,8440,10488
7.84,8500,10560
7.86,8442,10512
7.88,8443,10551
7.9,8418,10506
7.92,8492,10569
7.94,8424,10502
7.96,8436,10589
7.98,8430,10494
8,8480,10525
8.02,8462,10557
8.04,8422,10533
8.06,8486,10524
8.08,8451,10536
8.1,8390,10516
8.12,8460,10498
8.14,8460,10533
8.16,8423,10501
8.18,8461,10517
8.2,8415,10499
8.22,8476,10502
8.24,8450,10505
8.26,8444,10496
8.28,8482,10491
8.3,8389,10487
8.32,8479,10507
8.34,8415,10549
8.36,8421,10522
8.38,8450,10489
8.4,8422,10509
8.42,8500,10546
8.44,8438,10498
8.46,8468,10479
8.48,8429,10499
8.5,8462,10549
8.52,8432,10527
8.54,8411,10472
8.56,8420,10582
8.58,8421,10477
8.6,8464,10541
8.62,8472,10553
8.64,8379,10527
8.66,8453,10525
8.68,8443,10554
8.7,8435,10618
8.72,8454,10552
8.74,8413,10526
8.76,8465,10525
8.78,8437,10559
8.8,8442,10527
8.82,8475,10509
8.84,8457,10560
8.86,8461,10587
8.88,8428,10546
8.9,8455,10552
8.92,8445,10561
8.94,8427,10528
8.96,8430,10545
8.98,8476,10513
9,8425,10560
9.02,8452,10584
9.04,8427,10495
9.06,8446,10596
9.08,8437,10499
9.1,8454,10540
9.12,8441,10531
9.14,8480,10530
9.16,8434,10581
9.18,8471,10560
9.2,8392,10526
9.22,8463,10509
9.24,8455,10551
9.26,8436,10594
9.28,8446,10497
9.3,8479,10552
9.32,8467,10513
9.34,8475,10513
9.36,8390,10483
9.38,8416,10513
9.4,8438,10547
9.42,8425,10496
9.44,8465,10535
9.46,8420,10523
9.48,8421,10524
9.5,8473,10469
9.52,8424,10575
9.54,8414,10537
9.56,8451,10503
9.58,8483,10614
9.6,8427,10525
9.62,8494,10545
9.64,8470,10524
9.66,8410,10502
9.68,8462,10543
9.7,8414,10534
9.72,8420,10479
9.74,8446,10540
9.76,8454,10547
9.78,8430,10547
9.8,8425,10566
9.82,8403,10491
9.84,8446,10549
9.86,8376,10506
9.88,8444,10592
9.9,8410,10505
9.92,8441,10503
9.94,8435,10505
9.96,8342,10522
9.98,8396,10516
10,8447,10492
10.02,8414,10535
10.04,8393,10498
10.06,8442,10559
10.08,8376,10572
10.1,8415,10528
10.12,8443,10534
10.14,8326,10547
10.16,8408,10608
10.18,8389,10554
10.2,8360,10587
10.22,8442,10559
10.24,8359,10537
10.26,8392,10536
10.28,8381,10464
10.3,8435,10554
10.32,8384,10580
10.34,8379,10534
10.36,8441,10578
10.38,8392,10542
10.4,8446,10531
10.42,8401,10586
10.44,8398,10535
10.46,8399,10593
10.48,8375,10503
10.5,8434,10538
10.52,8406,10600
10.54,8419,10555
10.56,8340,10515
10.58,8426,10528
10.6,8412,10574
10.62,8375,10529
10.64,8398,10491
10.66,8446,10579
10.68,8461,10553
10.7,8386,10579
10.72,8392,10489
10.74,8396,10489
10.76,8450,10488
10.78,8391,10521
10.8,8450,10534
10.82,8404,10535
10.84,8418,10488
10.86,8412,10562
10.88,8401,10513
10.9,8416,10509
10.92,8383,10571
10.94,8381,10485
10.96,8424,10511
10.98,8353,10487
11,8401,10503
11.02,8409,10513
11.04,8410,10530
11.06,8392,10451
11.08,8435,10534
11.1,8349,10494
11.12,8411,10459
11.14,8382,10490
11.16,8387,10486
11.18,8418,10537
11.2,8383,10510
11.22,8355,10480
11.24,8427,10532
11.26,8386,10478
11.28,8415,108532
11.3,8464,10576
11.32,8544,10596
11.34,8482,10581
11.36,8523,10593
11.38,8553,10700
11.4,8504,10575
