X,Y,Z,R,IR,HR,RR,SPO2,Activity,HR Mean,RR Mean,SPO2 Mean
0.09,-0.21,0.96,9942,10965,90.90909091,19.23076923,84.45437161,4,,,
0.09,-0.25,0.95,10031,11004,96.77419355,18.75,99.0361466,4,,,
0.06,-0.24,1,10063,11112,65.2173913,20.97902098,92.74507309,4,,,
0.06,-0.2,1,10174,11033,43.47826087,20.97902098,98.40184795,4,,,
0.08,-0.21,1.02,10075,11023,100,15.625,98.77182419,4,,,
0.06,-0.22,1.09,9904,10915,46.875,15.30612245,99.38670837,4,,,
0.06,-0.17,1.08,10026,10988,88.23529412,12.5,98.56346785,4,,,
0.09,-0.2,1.09,10052,11016,100,18.18181818,94.845,4,,,
0.09,-0.19,1.01,10072,10998,90.90909091,15.38461538,99.01699984,4,,,
0.13,-0.21,1.09,10009,10891,53.57142857,20.27027027,91.01870256,4,,,
0.05,-0.2,1.01,9974,10963,62.5,13.57466063,99.92594253,4,,,
0.05,-0.22,0.96,10055,10963,52.63157895,18.18181818,98.34174061,4,,,
0.06,-0.25,1,10047,11130,37.5,13.57466063,97.79844002,4,,,
0.04,-0.25,1.04,10057,10903,71.42857143,15.07537688,96.36429059,4,,,
-0.01,-0.24,1.09,9927,10915,65.2173913,17.24137931,98.93045655,4,,,
0.08,-0.24,1.06,10023,10977,46.15384615,16.85393258,99.50067587,4,,,
0.01,-0.24,1.02,10029,10989,45.45454545,11.81102362,96.33961138,4,,,
0.03,-0.22,1.02,10123,11025,44.11764706,13.10043668,89.41281767,4,,,
0.05,-0.2,1.05,10037,10950,85.71428571,16.30434783,99.54675155,4,,,
0.04,-0.24,1.04,9915,10832,76.92307692,12.39669421,98.80332169,4,,,
0.1,-0.22,1.06,9967,10927,66.66666667,16.57458564,95.82419207,4,,,
0.1,-0.22,1.05,10043,11004,50,20.27027027,99.90709261,4,,,
0.05,-0.22,1.08,9975,10962,38.46153846,19.10828025,99.55750935,4,,,
0.03,-0.21,1.09,10029,10835,57.69230769,13.82488479,99.08662417,4,,,
0.04,-0.22,1.06,10001,10989,83.33333333,14.92537313,91.7157005,4,,,
0.05,-0.21,1.06,10051,11017,69.76744186,17.44186047,99.83445869,4,,,
0.05,-0.2,1.1,10058,11008,50,15.38461538,80.36101075,4,,,
0.06,-0.19,1.08,9944,10891,76.92307692,19.73684211,99.065309,4,,,
0.04,-0.19,1.09,10046,10997,44.11764706,15,93.49358469,4,,,
0.05,-0.17,1.08,10069,10984,93.75,18.75,97.9675292,4,,,
0.06,-0.19,1.05,10193,11068,63.82978723,11.71875,94.57664798,4,,,
0.04,-0.16,1.05,10071,10967,93.75,21.58273381,99.91423715,4,,,
0.06,-0.2,0.99,10031,10941,75,19.86754967,97.43824405,4,,,
0.04,-0.2,1.02,9963,10902,96.77419355,14.08450704,99.54537197,4,,,
0.11,-0.2,1.01,10029,10949,76.92307692,19.73684211,94.845,4,,,
0.14,-0.21,0.99,10030,10951,73.17073171,17.96407186,99.95666371,4,,,
0.08,-0.2,0.98,10171,11065,66.66666667,,97.51293071,4,,,
0.04,-0.2,0.99,10078,10981,68.18181818,,99.55590544,4,,,
0.04,-0.21,0.99,9957,10829,81.08108108,,92.891936,4,,,
0.05,-0.2,0.96,9958,10939,69.76744186,,98.54512205,4,,,
0.04,-0.21,0.98,10014,10965,81.08108108,,99.66739115,4,,,
0.03,-0.22,0.98,10031,11051,83.33333333,,97.32217658,4,,,
0.01,-0.21,0.98,10165,11058,40,,77.55739573,4,,,
0.05,-0.22,1.05,10023,10991,30.3030303,,98.25877879,4,,,
0.05,-0.22,1.04,10056,11029,69.76744186,,99.17145941,4,,,
0.05,-0.24,1.04,10082,11089,56.60377358,,94.88854768,4,,,
0.04,-0.21,1.09,10203,11193,40.54054054,,97.98118369,4,,,
0.09,-0.21,1.05,10126,11083,55.55555556,,99.90614386,4,,,
0.08,-0.24,1.05,10039,10946,71.42857143,,88.92338275,4,,,
0.04,-0.25,0.99,10003,11005,40,,88.611264,4,,,
0.06,-0.26,1.01,10080,11058,37.97468354,,86.24866682,4,,,
0.05,-0.24,1.02,10086,11141,61.2244898,,93.65462011,4,,,
0.04,-0.21,1.05,10172,11105,43.47826087,,94.53837329,4,,,
0.08,-0.22,1.05,10057,11023,107.1428571,,86.95194129,4,,,
0.1,-0.22,1.05,10062,11029,44.7761194,,99.53167736,4,,,
0.1,-0.24,1.04,10056,11007,41.66666667,,99.82453705,4,,,
0.11,-0.24,1.05,10188,11119,96.77419355,,93.99323512,4,,,
0.06,-0.24,1.05,10037,11087,61.2244898,,90.73637188,4,,,
0.09,-0.24,1.05,10088,10987,107.1428571,,99.65284799,4,,,
0.06,-0.21,1.08,10132,11106,75,,87.34349563,4,,,
0.04,-0.22,1.04,10146,11246,61.2244898,,90.04531333,4,,,
0.11,-0.22,1,10169,11129,65.2173913,,94.845,4,,,
0.1,-0.24,1.05,10130,11173,120,,99.63027776,4,,,
0.08,-0.21,1.04,10024,11128,111.1111111,,94.845,4,,,
0.05,-0.21,1.06,10119,11186,66.66666667,,99.2725976,4,,,
0,-0.22,1.06,10152,11175,43.47826087,,87.06913987,4,,,
0.05,-0.21,1.09,10307,11197,46.875,,91.95229126,4,,,
0.04,-0.2,1.1,10073,11058,75,,91.95650521,4,,,
0.06,-0.2,1.04,10054,11154,83.33333333,,98.3480913,4,,,
0.08,-0.19,1.05,10133,11185,85.71428571,,95.06919753,4,,,
0.08,-0.19,1.02,10096,11303,48.38709677,,96.74021078,4,,,
0.05,-0.19,0.96,10190,11151,76.92307692,,98.31148392,4,,,
0.03,-0.2,0.98,10117,11115,120,,99.75963745,4,,,
0.03,-0.2,0.98,9995,11057,65.2173913,,97.93096069,4,,,
0.01,-0.2,1.01,10115,11133,38.46153846,,97.56094023,4,,,
0,-0.2,1.06,10225,11235,73.17073171,,95.27663875,4,,,
0.03,-0.24,1.05,10135,11165,85.71428571,,91.54119967,4,,,
-0.01,-0.22,0.98,10102,11064,81.08108108,,82.2485653,4,,,
0.03,-0.21,1.01,10079,11162,60,,94.35492795,4,,,
0.03,-0.21,1.01,10118,11157,150,,90.30509819,4,,,
0.03,-0.19,0.99,10114,11254,55.55555556,,99.95686474,4,,,
0.06,-0.21,1.04,10191,11102,130.4347826,,99.91278234,4,,,
0.08,-0.22,1.02,9984,11029,65.2173913,,98.03615731,4,,,
0.03,-0.21,0.98,10093,11101,62.5,,96.26806627,4,,,
0.05,-0.22,0.96,10082,11059,66.66666667,,89.72400101,4,,,
-0.01,-0.21,1,10184,11154,51.72413793,,96.32633323,4,,,
0.01,-0.2,0.98,10127,11079,100,,99.93574042,4,,,
0.03,-0.21,1.02,10098,10950,88.23529412,,99.95498981,4,,,
0.05,-0.2,1.05,9993,11071,78.94736842,,95.21655206,4,,,
0.05,-0.2,1.09,10226,11212,45.45454545,,97.2858812,4,,,
0.03,-0.2,1.05,10117,11136,45.45454545,,92.02279037,4,,,
0.04,-0.2,1.04,10094,11106,93.75,,98.68021171,4,,,
0.04,-0.2,1.06,9996,11026,73.17073171,,96.28192281,4,,,
0.03,-0.2,1.06,10100,11130,83.33333333,,99.81624841,4,,,
0.04,-0.2,1.05,10094,11075,47.61904762,,98.06014732,4,,,
0.03,-0.21,1.06,10200,11173,38.46153846,,93.58202037,4,,,
0.03,-0.21,1.05,10112,11028,75,,99.54368574,4,,,
0.03,-0.2,1.08,10050,11085,46.875,,93.2784283,4,,,
0.03,-0.21,1.05,10108,11092,73.17073171,,90.93641887,4,,,
0.04,-0.2,1.06,10245,11190,49.18032787,,97.51798276,4,,,
0.05,-0.2,1.09,10051,11104,45.45454545,,98.72908001,4,,,
0.06,-0.21,1.06,10082,11003,69.76744186,,97.81417601,4,,,
0.06,-0.24,1.08,9979,11065,76.92307692,,92.83727954,4,,,
