time(second),IR,RED
6.4,8152,10674
6.42,8190,10657
6.44,8237,10659
6.46,8181,10686
6.48,8218,10713
6.5,8201,10707
6.52,8153,10666
6.54,8230,10719
6.56,8202,10737
6.58,8193,10692
6.6,8241,10708
6.62,8196,10703
6.64,8167,10623
6.66,8155,10713
6.68,8187,10643
6.7,8216,10702
6.72,8187,10617
6.74,8246,10719
6.76,8185,10660
6.78,8219,10694
6.8,8149,10653
6.82,8217,10701
6.84,8195,10700
6.86,8216,10690
6.88,8191,10696
6.9,8221,10672
6.92,8203,10675
6.94,8171,10654
6.96,8242,10674
6.98,8187,10712
7,8154,10646
7.02,8180,10638
7.04,8234,10709
7.06,8195,10704
7.08,8133,10683
7.1,8207,10665
7.12,8229,10708
7.14,8151,10673
7.16,8204,10655
7.18,8194,10608
7.2,8234,10694
7.22,8213,10662
7.24,8218,10669
7.26,8172,10680
7.28,8156,10659
7.3,8220,10676
7.32,8221,10673
7.34,8220,10691
7.36,8123,10690
7.38,8156,10676
7.4,8208,10737
7.42,8163,10657
7.44,8238,10623
7.46,8159,10654
7.48,8228,10636
7.5,8175,10709
7.52,8173,10620
7.54,8172,10620
7.56,8213,10658
7.58,8157,10639
7.6,8234,10682
7.62,8194,10688
7.64,8161,10697
7.66,8177,10647
7.68,8216,10663
7.7,8180,10708
7.72,8139,10652
7.74,8225,10650
7.76,8158,10698
7.78,8157,10691
7.8,8175,10703
7.82,8181,10668
7.84,8211,10680
7.86,8208,10679
7.88,8147,10681
7.9,8188,10645
7.92,8173,10664
7.94,8141,10647
7.96,8195,10650
7.98,8224,10680
8,8160,10678
8.02,8191,10639
8.04,8208,10687
8.06,8141,10626
8.08,8161,10687
8.1,8168,10656
8.12,8191,10641
8.14,8201,10717
8.16,8175,10668
8.18,8147,10646
8.2,8216,10666
8.22,8171,10700
8.24,8225,10688
8.26,8161,10682
8.28,8170,10653
8.3,8222,10598
8.32,8215,10699
8.34,8159,10643
8.36,8166,10634
8.38,8183,10653
8.4,8188,10721
8.42,8188,10646
8.44,8219,10656
8.46,8154,10695
8.48,8140,10639
8.5,8177,10651
8.52,8206,10664
8.54,8161,10683
8.56,8188,10619
8.58,8232,10696
8.6,8195,10725
8.62,8127,10685
8.64,8229,10674
8.66,8182,10698
8.68,8169,10670
8.7,8161,10710
8.72,8186,10653
8.74,8221,10633
8.76,8200,10682
8.78,8197,10646
8.8,8223,10668
8.82,8167,10708
8.84,8191,10699
8.86,8139,10648
8.88,8219,10653
8.9,8134,10654
8.92,8189,10698
8.94,8189,10700
8.96,8149,10621
8.98,8193,10690
9,8225,10702
9.02,8149,10687
9.04,8160,10672
9.06,8171,10647
9.08,8185,10620
9.1,8156,10625
9.12,8205,10651
9.14,8193,10666
9.16,8192,10683
9.18,8140,10665
9.2,8236,10611
9.22,8124,10649
9.24,8200,10625
9.26,8220,10635
9.28,8169,10701
9.3,8193,10617
9.32,8213,10664
9.34,8151,10654
9.36,8189,10640
9.38,8206,10692
9.4,8220,10643
9.42,8193,10718
9.44,8200,10651
9.46,8216,10625
9.48,8203,10662
9.5,8120,10606
9.52,8238,10677
9.54,8153,10629
9.56,8201,10647
9.58,8133,10657
9.6,8167,10640
9.62,8125,10609
9.64,8203,10681
9.66,8141,10661
9.68,8147,10630
9.7,8218,10643
9.72,8158,10671
9.74,8158,10645
9.76,8190,10638
9.78,8173,10609
9.8,8213,10691
9.82,8189,10698
9.84,8124,10652
9.86,8220,10639
9.88,8177,10680
9.9,8158,10690
9.92,8166,10637
9.94,8167,10624
9.96,8231,10645
9.98,8178,10576
10,8230,10652
10.02,8149,10670
10.04,8154,10619
10.06,8162,10676
10.08,8165,10645
10.1,8202,10640
10.12,8103,10666
10.14,8170,10644
10.16,8186,10679
10.18,8135,10624
10.2,8206,10733
10.22,8182,10701
10.24,8134,10625
10.26,8197,10691
10.28,8177,10694
10.3,8167,10603
10.32,8224,10659
10.34,8184,10688
10.36,8213,10607
10.38,8176,10698
10.4,8178,10626
10.42,8204,10641
10.44,8172,10674
10.46,8226,10639
10.48,8197,10645
10.5,8149,10666
10.52,8185,10603
10.54,8227,10708
10.56,8174,10639
10.58,8222,10668
10.6,8148,10693
10.62,8169,10644
10.64,8231,10610
10.66,8159,10707
10.68,8177,10682
10.7,8144,10625
10.72,8214,10681
10.74,8183,10622
10.76,8170,10574
10.78,8175,10705
10.8,8222,10635
10.82,8166,10683
10.84,8185,10639
10.86,8201,10592
10.88,8207,10676
10.9,8206,10603
10.92,8224,10609
10.94,8186,10628
10.96,8189,10695
10.98,8214,10658
11,8161,10650
11.02,8183,10621
11.04,8209,10627
11.06,8187,10676
11.08,8158,10599
11.1,8197,10631
11.12,8146,10626
11.14,8159,10650
11.16,8180,10585
11.18,8214,10607
11.2,8187,10694
11.22,8175,10612
11.24,8220,10621
11.26,8235,10675
11.28,8202,108275
11.3,8212,10709
11.32,8143,10642
11.34,8256,10707
11.36,8185,10653
11.38,8234,10635
11.4,8226,10720
11.42,8179,10648
11.44,8165,10648
11.46,8233,10658
11.48,8181,10693
11.5,8177,10634
11.52,8225,10659
11.54,8213,10686
11.56,8228,10620
11.58,8206,10680
11.6,8177,10633
11.62,8235,10623
11.64,8138,10643
11.66,8219,10653
11.68,8152,10674
11.7,8190,10657
11.72,8237,10659
11.74,8181,10686
11.76,8218,10713
