time(second),IR,RED
6.4,8637,10614
6.42,8578,10599
6.44,8599,10577
6.46,8591,10651
6.48,8591,10629
6.5,8640,10603
6.52,8579,10640
6.54,8589,10604
6.56,8665,10609
6.58,8570,10610
6.6,8626,10612
6.62,8604,10626
6.64,8551,10564
6.66,8601,10612
6.68,8579,10587
6.7,8606,10596
6.72,8647,10645
6.74,8601,10613
6.76,8653,10580
6.78,8586,10581
6.8,8633,10611
6.82,8611,10640
6.84,8574,10587
6.86,8627,10597
6.88,8609,10607
6.9,8588,10632
6.92,8613,10542
6.94,8640,10627
6.96,8563,10569
6.98,8566,10556
7,8631,10579
7.02,8573,10610
7.04,8572,10584
7.06,8596,10552
7.08,8628,10628
7.1,8610,10572
7.12,8534,10584
7.14,8588,10584
7.16,8584,10603
7.18,8542,10525
7.2,8594,10610
7.22,8568,10557
7.24,8601,10563
7.26,8639,10567
7.28,8574,10605
7.3,8562,10627
7.32,8556,10536
7.34,8617,10535
7.36,8534,10518
7.38,8559,10525
7.4,8611,10550
7.42,8611,10567
7.44,8566,10592
7.46,8542,10593
7.48,8557,10537
7.5,8589,10625
7.52,8552,10543
7.54,8552,10526
7.56,8566,10553
7.58,8606,10508
7.6,8615,10565
7.62,8612,10605
7.64,8566,10548
7.66,8609,10554
7.68,8531,10562
7.7,8572,10593
7.72,8585,10638
7.74,8582,10617
7.76,8532,10565
7.78,8613,10576
7.8,8577,10626
7.82,8560,10560
7.84,8615,10588
7.86,8546,10602
7.88,8570,10600
7.9,8641,10563
7.92,8609,10515
7.94,8610,10581
7.96,8598,10611
7.98,8564,10602
8,8579,10565
8.02,8561,10554
8.04,8630,10625
8.06,8564,10566
8.08,8606,10539
8.1,8572,10584
8.12,8569,10554
8.14,8606,10625
8.16,8598,10580
8.18,8584,10593
8.2,8558,10549
8.22,8580,10588
8.24,8530,10555
8.26,8598,10615
8.28,8546,10542
8.3,8604,10593
8.32,8500,10575
8.34,8558,10557
8.36,8612,10546
8.38,8564,10628
8.4,8550,10547
8.42,8588,10612
8.44,8538,10582
8.46,8536,10562
8.48,8573,10601
8.5,8563,10609
8.52,8557,10530
8.54,8603,10659
8.56,8535,10596
8.58,8535,10534
8.6,8563,10614
8.62,8556,10537
8.64,8607,10562
8.66,8547,10595
8.68,8600,10634
8.7,8538,10589
8.72,8520,10566
8.74,8581,10557
8.76,8527,10605
8.78,8512,10563
8.8,8591,10566
8.82,8586,10585
8.84,8558,10618
8.86,8507,10559
8.88,8531,10518
8.9,8589,10601
8.92,8561,10625
8.94,8545,10604
8.96,8491,10558
8.98,8547,10561
9,8573,10603
9.02,8498,10549
9.04,8546,10612
9.06,8521,10558
9.08,8537,10526
9.1,8555,10602
9.12,8543,10592
9.14,8529,10575
9.16,8470,10559
9.18,8517,10578
9.2,8520,10539
9.22,8567,10576
9.24,8560,10565
9.26,8536,10595
9.28,8525,10580
9.3,8527,10519
9.32,8572,10596
9.34,8525,10613
9.36,8490,10558
9.38,8524,10601
9.4,8572,10587
9.42,8497,10589
9.44,8521,10546
9.46,8562,10545
9.48,8533,10643
9.5,8509,10548
9.52,8523,10583
9.54,8530,10560
9.56,8580,10569
9.58,8493,10574
9.6,8516,10555
9.62,8520,10624
9.64,8533,10560
9.66,8539,10608
9.68,8559,10566
9.7,8519,10596
9.72,8557,10628
9.74,8492,10592
9.76,8511,10577
9.78,8586,10601
9.8,8506,10624
9.82,8577,10609
9.84,8527,10602
9.86,8511,10544
9.88,8581,10564
9.9,8524,10655
9.92,8522,10557
9.94,8564,10607
9.96,8570,10620
9.98,8533,10583
10,8567,10595
10.02,8521,10550
10.04,8533,10579
10.06,8551,10599
10.08,8521,10607
10.1,8475,10573
10.12,8552,10565
10.14,8559,10538
10.16,8528,10620
10.18,8539,10549
10.2,8530,10575
10.22,8484,10553
10.24,8564,10602
10.26,8497,10569
10.28,8559,10618
10.3,8494,10545
10.32,8541,10598
10.34,8514,10627
10.36,8510,10548
10.38,8541,10602
10.4,8521,10595
10.42,8455,10566
10.44,8491,10644
10.46,8478,10569
10.48,8504,10550
10.5,8546,10570
10.52,8496,10546
10.54,8551,10551
10.56,8517,10602
10.58,8504,10587
10.6,8492,10540
10.62,8478,10614
10.64,8494,10572
10.66,8547,10582
10.68,8517,10612
10.7,8497,10621
10.72,8533,10602
10.74,8514,10642
10.76,8552,10627
10.78,8464,10606
10.8,8499,10553
10.82,8538,10546
10.84,8513,10598
10.86,8523,10559
10.88,8494,10603
10.9,8506,10624
10.92,8482,10601
10.94,8508,10531
10.96,8501,10595
10.98,8496,10587
11,8554,10629
11.02,8497,10565
11.04,8515,10580
11.06,8527,10572
11.08,8536,10607
11.1,8488,10656
11.12,8510,10561
11.14,8543,10664
11.16,8487,10615
11.18,8542,10573
11.2,8494,10582
11.22,8553,10615
11.24,8469,10629
11.26,8474,108501
11.28,8455,10443
11.3,8502,10490
11.32,8556,10484
11.34,8460,10496
11.36,8563,10611
