X,Y,Z,IR,RED,HeartRate,RespirationRate,SPO2,Activity,HR Mean,RR Mean,SPO2 Mean
0.15,-0.37,0.82,8589,10625,68.18181818,12.87553648,92.06468834,1,,,
0.11,-0.4,0.86,8552,10543,66.66666667,17.54385965,94.89392257,1,,,
0.2,-0.37,0.89,8552,10526,69.76744186,17.75147929,95.12044293,1,,,
0.21,-0.36,0.84,8566,10553,76.92307692,20,95.13553329,1,,,
0.21,-0.36,0.88,8606,10508,214.2857143,18.29268293,99.94372013,1,,,
0.22,-0.4,0.89,8615,10565,130.4347826,22.90076336,98.56162577,1,,,
0.21,-0.37,0.9,8612,10605,111.1111111,20.54794521,92.06519853,1,,,
0.2,-0.4,0.85,8566,10548,103.4482759,20.40816327,94.89392257,1,,,
0.2,-0.39,0.84,8609,10554,66.66666667,19.48051948,95.12044293,1,,,
0.2,-0.39,0.89,8531,10562,68.18181818,11.85770751,95.13553329,1,,,
0.19,-0.37,0.86,8572,10593,71.42857143,17.44186047,99.94372014,1,,,
0.2,-0.43,0.91,8585,10638,75,21.42857143,98.5616258,1,,,
0.22,-0.41,0.89,8582,10617,71.42857143,22.3880597,92.06519852,1,,,
0.22,-0.39,0.88,8532,10565,78.94736842,20.13422819,94.91714547,1,,,
0.21,-0.41,0.82,8613,10576,65.2173913,20,95.29518654,1,,,
0.2,-0.49,0.82,8577,10626,85.71428571,20.97902098,94.71440892,1,,,
0.2,-0.49,0.85,8560,10560,75,20.83333333,97.85534102,1,,,
0.19,-0.45,1,8615,10588,130.4347826,20.54794521,81.58054659,1,,,
0.19,-0.39,0.93,8546,10602,136.3636364,19.86754967,92.62381487,1,,,
0.2,-0.4,0.93,8570,10600,88.23529412,19.73684211,98.86896403,1,,,
0.21,-0.45,0.86,8641,10563,88.23529412,21.73913043,99.69768406,1,,,
0.21,-0.57,0.84,8609,10515,130.4347826,20.68965517,99.89411706,1,,,
0.21,-0.45,0.95,8610,10581,111.1111111,20.54794521,99.27680595,1,,,
0.2,-0.32,0.94,8598,10611,103.4482759,19.60784314,99.28945832,1,,,
0.16,-0.39,0.95,8501,10427,66.66666667,18.98734177,84.26774705,1,,,
0.4,-0.11,1.17,8455,10443,68.18181818,20.97902098,92.03807079,1,,,
0.46,-0.03,0.8,8502,10490,69.76744186,20.83333333,98.87665949,1,,,
0.08,-0.2,0.93,8556,10484,73.17073171,,99.69792374,1,,,
0.09,-0.19,1.05,8460,10496,272.7272727,,99.8940675,1,,,
0.21,-0.13,1.05,8563,10611,125,,98.86643044,1,,,
0.21,-0.11,0.9,8584,10565,111.1111111,,98.52975283,1,,,
0.2,-0.11,1.08,8621,10550,103.4482759,,94.86032485,1,,,
0.21,-0.19,0.99,8569,10548,66.66666667,,95.20835661,1,,,
0.2,-0.08,0.98,8592,10545,68.18181818,,94.93231123,1,,,
0.22,0.01,1.1,8552,10556,71.42857143,,95.4935311,1,,,
0.25,-0.21,1.08,8589,10531,71.42857143,,88.007729,1,,,
-0.1,0.04,1.08,8636,10579,272.7272727,,97.67295992,1,,,
0.22,-0.2,0.99,8619,10626,125,,99.90397715,1,,,
0.44,-0.06,1.41,8558,10612,111.1111111,,98.8610798,1,,,
0.45,-0.05,0.64,8616,10607,103.4482759,,98.53004892,1,,,
-0.15,0.2,0.47,8654,10570,66.66666667,,94.86032485,1,,,
0.37,0.16,1.39,8567,10608,69.76744186,,95.20835661,1,,,
0.15,-0.08,1.16,8593,10590,68.18181818,,94.93231123,1,,,
0.1,0.14,1.27,8662,10652,71.42857143,,95.49353109,1,,,
0.2,0.14,1.36,8588,10557,83.33333333,,88.00773091,1,,,
0.14,0.09,1.29,8637,10614,69.76744186,,97.67295989,1,,,
0.11,0.08,1.09,8578,10599,73.17073171,,99.90397715,1,,,
0.09,0.14,0.96,8599,10577,130.4347826,,98.86107981,1,,,
-0.01,0.01,0.99,8591,10651,157.8947368,,98.46838881,1,,,
-0.06,0.09,0.88,8591,10629,130.4347826,,94.8837126,1,,,
0.08,0.03,0.94,8640,10603,125,,95.04330397,1,,,
0.06,0,0.94,8579,10640,120,,95.15686266,1,,,
0.03,-0.03,1.04,8589,10604,166.6666667,,98.52765565,1,,,
0.08,0.09,1.06,8665,10609,130.4347826,,97.38343646,1,,,
0.13,-0.03,1.1,8570,10610,142.8571429,,99.94810269,1,,,
0.13,0.01,1.06,8626,10612,200,,98.81067448,1,,,
0.04,-0.06,1,8604,10626,130.4347826,,99.3059525,1,,,
0.03,-0.1,0.91,8551,10564,111.1111111,,97.8369029,1,,,
0.06,-0.1,0.99,8601,10612,103.4482759,,99.94822465,1,,,
0.08,-0.11,0.88,8579,10587,66.66666667,,98.81339015,1,,,
-0.05,-0.11,0.89,8606,10596,69.76744186,,91.41044516,1,,,
-0.08,-0.05,0.95,8647,10645,69.76744186,,82.25675774,1,,,
0.04,-0.1,0.93,8601,10613,73.17073171,,94.93219731,1,,,
0.04,-0.13,0.93,8653,10580,230.7692308,,98.33879667,1,,,
0.01,-0.11,0.95,8586,10581,130.4347826,,98.64436796,1,,,
0.05,-0.13,0.96,8633,10611,111.1111111,,91.38758667,1,,,
0.13,-0.13,0.89,8611,10640,103.4482759,,82.2575609,1,,,
0.01,-0.17,0.95,8574,10587,68.18181818,,94.93219731,1,,,
-0.01,-0.15,0.99,8627,10597,68.18181818,,98.33879667,1,,,
0.01,-0.13,1.09,8609,10607,69.76744186,,98.64436807,1,,,
-0.08,-0.13,1.04,8588,10632,75,,91.38758659,1,,,
-0.05,-0.13,1.1,8613,10542,214.2857143,,82.75811382,1,,,
0,-0.11,1.06,8640,10627,130.4347826,,94.88106172,1,,,
-0.01,-0.11,1.01,8563,10569,111.1111111,,94.79411997,1,,,
-0.04,-0.11,1.01,8566,10556,103.4482759,,93.49929536,1,,,
-0.04,-0.11,1.01,8631,10579,68.18181818,,99.81595621,1,,,
-0.04,-0.15,1.05,8573,10610,66.66666667,,99.95687683,1,,,
-0.06,-0.14,0.96,8572,10584,71.42857143,,96.67532298,1,,,
-0.04,-0.11,1.15,8596,10552,76.92307692,,94.41313514,1,,,
-0.01,-0.19,1.1,8628,10628,71.42857143,,99.95658997,1,,,
-0.01,-0.19,1.06,8610,10572,71.42857143,,96.6790891,1,,,
-0.09,-0.2,1.02,8534,10584,71.42857143,,94.41296348,1,,,
-0.14,-0.22,0.99,8588,10584,81.08108108,,98.84559969,1,,,
-0.17,-0.22,1.06,8584,10603,93.75,,92.05686237,1,,,
-0.14,-0.25,1.09,8542,10525,120,,94.83388142,1,,,
0.01,-0.22,1.08,8594,10610,85.71428571,,94.87126186,1,,,
0.09,-0.28,1.08,8568,10557,85.71428571,,94.82508333,1,,,
0.13,-0.32,0.91,8601,10563,120,,93.9712943,1,,,
0.04,-0.29,0.94,8639,10567,130.4347826,,97.32075669,1,,,
0.05,-0.29,0.99,8574,10605,111.1111111,,95.83588968,1,,,
0,-0.28,0.95,8562,10627,103.4482759,,98.84407268,1,,,
-0.05,-0.21,1.01,8556,10536,68.18181818,,92.04711177,1,,,
0.11,-0.22,0.95,8617,10535,66.66666667,,94.83388142,1,,,
0.13,-0.19,1.01,8534,10518,71.42857143,,94.87126186,1,,,
0.06,-0.31,0.95,8559,10525,76.92307692,,94.82508333,1,,,
0.06,-0.28,0.86,8611,10550,200,,93.97129432,1,,,
0.11,-0.32,0.91,8611,10567,130.4347826,,97.32075662,1,,,
0.19,-0.34,0.99,8566,10592,111.1111111,,95.83588966,1,,,
0.19,-0.35,0.91,8542,10593,103.4482759,,98.84407274,1,,,
0.21,-0.41,0.85,8557,10537,68.18181818,,91.99136349,1,,,
0.15,-0.37,0.82,8589,10625,66.66666667,,94.87634618,1,,,
0.11,-0.4,0.86,8552,10543,71.42857143,,94.98740436,1,,,
0.2,-0.37,0.89,8552,10526,76.92307692,,96.36585926,1,,,
0.21,-0.36,0.84,8566,10553,200,,95.64737487,1,,,
0.21,-0.36,0.88,8606,10508,130.4347826,,99.94378029,1,,,
0.22,-0.4,0.89,8615,10565,111.1111111,,99.63296008,1,,,
0.21,-0.37,0.9,8612,10605,103.4482759,,99.79024283,1,,,
0.2,-0.4,0.85,8566,10548,66.66666667,,99.85766035,1,,,
0.2,-0.39,0.84,8609,10554,68.18181818,,99.91588958,1,,,
0.2,-0.39,0.89,8531,10562,71.42857143,,99.31630975,1,,,
0.19,-0.37,0.86,8572,10593,71.42857143,,99.51704114,1,,,
0.2,-0.43,0.91,8585,10638,78.94736842,,99.77729458,1,,,
0.22,-0.41,0.89,8582,10617,76.92307692,,99.78384751,1,,,
0.22,-0.39,0.88,8532,10565,111.1111111,,99.85777731,1,,,
0.21,-0.41,0.82,8613,10576,130.4347826,,99.91588723,1,,,
0.2,-0.49,0.82,8577,10626,125,,93.80726513,1,,,
0.2,-0.49,0.85,8560,10560,130.4347826,,98.43668626,1,,,
0.19,-0.45,1,8615,10588,85.71428571,,94.88562516,1,,,
0.19,-0.39,0.93,8546,10602,107.1428571,,94.92035206,1,,,
0.2,-0.4,0.93,8570,10600,81.08108108,,96.30116031,1,,,
0.21,-0.45,0.86,8641,10563,78.94736842,,95.69951064,1,,,
0.21,-0.57,0.84,8609,10515,130.4347826,,99.84253241,1,,,
0.21,-0.45,0.95,8610,10581,111.1111111,,99.88735251,1,,,
0.2,-0.32,0.94,8598,10611,103.4482759,,94.06717766,1,,,
0.16,-0.39,0.95,8564,10602,66.66666667,,98.43887475,1,,,
0.1,-0.4,0.91,8579,10565,69.76744186,,94.88562516,1,,,
0.14,-0.41,0.95,8561,10554,68.18181818,,94.92035206,1,,,
0.13,-0.4,0.91,8630,10625,75,,96.30116029,1,,,
0.03,-0.43,0.96,8564,10566,230.7692308,,95.69951063,1,,,
0.11,-0.4,0.99,8606,10539,130.4347826,,99.8425324,1,,,
0.04,-0.3,1,8572,10584,111.1111111,,99.88735251,1,,,
-0.01,-0.37,0.91,8569,10554,103.4482759,,94.06717776,1,,,
-0.01,-0.29,0.88,8606,10625,66.66666667,,98.381312,1,,,
0.01,-0.32,0.9,8598,10580,69.76744186,,94.86772399,1,,,
0.05,-0.34,0.93,8584,10593,69.76744186,,95.06021584,1,,,
0.04,-0.39,1,8558,10549,73.17073171,,95.56942545,1,,,
0.19,-0.32,1.04,8580,10588,230.7692308,,98.36444024,1,,,
0.21,-0.34,1.04,8530,10555,130.4347826,,99.52247256,1,,,
0.15,-0.39,0.9,8598,10615,111.1111111,,98.65656303,1,,,
0.14,-0.37,0.95,8546,10542,103.4482759,,95.06308621,1,,,
0.21,-0.39,0.94,8604,10593,66.66666667,,94.67333393,1,,,
0.2,-0.4,0.9,8500,10575,69.76744186,,99.12597222,1,,,
0.2,-0.37,0.89,8558,10557,71.42857143,,99.94076316,1,,,
0.16,-0.37,0.99,8612,10546,71.42857143,,88.72600176,1,,,
0.15,-0.39,0.89,8564,10628,73.17073171,,99.83068282,1,,,
0.01,-0.35,0.95,8550,10547,83.33333333,,99.12858737,1,,,
0.03,-0.32,0.99,8588,10612,166.6666667,,95.69345083,1,,,
0.21,-0.41,0.95,8538,10582,115.3846154,,94.55273636,1,,,
0.09,-0.16,0.96,8536,10562,93.75,,99.12564116,1,,,
-0.06,-0.2,1.21,8573,10601,115.3846154,,99.94080954,1,,,
-0.04,-0.24,1.02,8563,10609,93.75,,88.55557135,1,,,
-0.05,-0.32,1.01,8557,10530,75,,99.0866311,1,,,
0.06,-0.28,0.96,8603,10659,136.3636364,,94.93769626,1,,,
0.08,-0.17,0.95,8535,10596,142.8571429,,95.01744974,1,,,
0,-0.29,0.89,8535,10534,157.8947368,,95.54691827,1,,,
