X,Y,Z,IR,RED,Heart Rate,Respiration Rate,SpO2
0.04,-0.17,1.04,262143,262143,66.66666667,,80.139
0.05,-0.17,1.1,262143,262143,66.66666667,,80.139
0.01,-0.17,1.04,262143,262143,69.76744186,,80.139
0.06,-0.16,1.06,262143,262143,57.69230769,,80.139
0.04,-0.19,1.08,262143,262143,81.08108108,,80.139
0.03,-0.19,0.99,262143,262143,37.03703704,,80.139
0.03,-0.15,1.02,262143,262143,48.38709677,,80.139
0.01,-0.17,1.1,262143,262143,63.82978723,,80.139
0.05,-0.16,1.06,262143,262143,88.23529412,,80.139
0.04,-0.19,1.08,262143,262143,68.18181818,,80.139
0.05,-0.16,1.08,262143,262143,65.2173913,,80.139
0.01,-0.19,1.05,262143,262143,78.94736842,,80.139
0.03,-0.17,1.01,262143,262143,71.42857143,,80.139
0.04,-0.17,1.05,262143,262143,96.77419355,,80.139
0,-0.16,1.06,262143,262143,49.18032787,,80.139
0.03,-0.16,1.06,262143,262143,130.4347826,,80.139
0.06,-0.17,1.06,262143,262143,107.1428571,,80.139
0.06,-0.19,1.02,262143,262143,76.92307692,,80.139
0.03,-0.16,1.01,262143,262143,62.5,,80.139
0.03,-0.17,1.06,262143,262143,44.7761194,,80.139
0.04,-0.19,1.06,262143,262143,48.38709677,,80.139
0.03,-0.17,1.05,262143,262143,44.7761194,,80.139
0,-0.16,1.06,262143,262143,61.2244898,,80.139
0.04,-0.19,1.06,262143,262143,115.3846154,,80.139
0.01,-0.19,1.02,262143,262143,58.82352941,,80.139
0.04,-0.17,1.08,262143,262143,58.82352941,,80.139
0.04,-0.17,1.06,262143,262143,50,,80.139
0.03,-0.15,1.06,262143,262143,69.76744186,,80.139
0.06,-0.19,1.09,262143,262143,52.63157895,,80.139
0.04,-0.17,1.06,262143,262143,115.3846154,,80.139
0.05,-0.17,1.01,262143,262143,85.71428571,,80.139
0.03,-0.15,1.05,262143,262143,85.71428571,,80.139
0.03,-0.15,1.06,262143,262143,33.70786517,,80.139
0.05,-0.16,1.1,262143,262143,36.58536585,,80.139
0.04,-0.17,1.05,262143,262143,71.42857143,,80.139
0.03,-0.2,1.08,262143,262143,71.42857143,,80.139
0.04,-0.17,1.05,262143,262143,93.75,,80.139
0.03,-0.16,0.99,262143,262143,63.82978723,,80.139
0.04,-0.17,1.09,262143,262143,73.17073171,,80.139
0.03,-0.19,1.06,262143,262143,53.57142857,,80.139
0.05,-0.17,1.02,262143,262143,76.92307692,,80.139
0.09,-0.19,1.02,262143,262143,75,,80.139
0.04,-0.16,1.01,262143,262143,93.75,,80.139
0.05,-0.19,1.05,262143,262143,55.55555556,,80.139
0.05,-0.16,1.01,262143,262143,51.72413793,,80.139
0.05,-0.15,1.09,262143,262143,71.42857143,,80.139
0.05,-0.17,1.02,262143,262143,71.42857143,,80.139
0.06,-0.19,1.06,262143,262143,61.2244898,,80.139
0.06,-0.19,1.04,262143,262143,60,,80.139
0.03,-0.16,1.05,262143,262143,57.69230769,,80.139
0.05,-0.17,1.02,262143,262143,66.66666667,,80.139
0.04,-0.15,1.05,262143,262143,96.77419355,,80.139
0.04,-0.15,1.05,262143,262143,81.08108108,,80.139
0.05,-0.14,1.02,262143,262143,61.2244898,,80.139
0.05,-0.17,1.09,262143,262143,81.08108108,,80.139
0.03,-0.17,1.05,262143,262143,85.71428571,,80.139
