0,262143,262143
0.02,262143,262143
0.04,262143,262143
0.06,262143,262143
0.08,262143,262143
0.1,262143,262143
0.12,262143,262143
0.14,262143,262143
0.16,241663,262143
0.18,26743,44797
0.2,20962,15083
0.22,22951,15655
0.24,23757,16429
0.26,24048,16452
0.28,24204,16461
0.3,24298,16505
0.32,24335,16549
0.34,24292,16545
0.36,24349,16593
0.38,24360,16556
0.4,24365,16608
0.42,24396,16562
0.44,24377,16567
0.46,24417,16600
0.48,24441,16612
0.5,24427,16594
0.52,24430,16595
0.54,24426,16566
0.56,24485,16562
0.58,24472,16600
0.6,24489,16600
0.62,24489,16603
0.64,24516,16567
0.66,24504,16576
0.68,24513,16636
0.7,24515,16631
0.72,24491,16639
0.74,24530,16641
0.76,24538,16627
0.78,24539,16665
0.8,24507,16612
0.82,24544,16620
0.84,24589,16653
0.86,24547,16651
0.88,24583,16688
0.9,24598,16668
0.92,24546,16656
0.94,24509,16613
0.96,24531,16654
0.98,24565,16624
1,24559,16628
1.02,24589,16594
1.04,24582,16650
1.06,24568,16627
1.08,24594,16652
1.1,24642,16600
1.12,24619,16693
1.14,24616,16705
1.16,24613,16650
1.18,24547,16610
1.2,24555,16688
1.22,24607,16634
1.24,24643,16638
1.26,24590,16674
1.28,24571,16672
1.3,24620,16691
1.32,24635,16618
1.34,24607,16629
1.36,24612,16659
1.38,24586,16658
1.4,24644,16634
1.42,24676,16624
1.44,24645,16608
1.46,24626,16739
1.48,24565,16641
1.5,24626,16626
1.52,24602,16713
1.54,24618,16656
1.56,24612,16661
1.58,24634,16653
1.6,24667,16662
1.62,24622,16685
1.64,24651,16695
1.66,24662,16696
1.68,24680,16669
1.7,24612,16710
1.72,24659,16707
1.74,27160,17066
1.76,27160,17875
1.78,23442,17173
1.8,23819,16037
1.82,27281,16715
1.84,24617,18244
1.86,83569,17419
1.88,214376,165206
1.9,262143,262143
1.92,262143,262143
1.94,262143,262143
1.96,262143,262143
1.98,262143,262143
2,262143,262143
2.02,262143,262143
2.04,262143,262143
2.06,262143,262143
2.08,262143,262143
2.1,262143,262143
2.12,262143,262143
2.14,262143,262143
2.16,262143,262143
2.18,262143,262143
2.2,262143,262143
2.22,262143,262143
2.24,262143,262143
2.26,262143,262143
2.28,262143,262143
2.3,262143,262143
2.32,262143,262143
2.34,262143,262143
2.36,262143,262143
2.38,262143,262143
2.4,262143,262143
2.42,262143,262143
2.44,262143,262143
2.46,262143,262143
2.48,262143,262143
2.5,262143,262143
